term	definition	term_links	wikidata_qid
antanaclasis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ἀντανάκλασις_](https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CF%84%CE%B1%CE%BD%CE%AC%CE%BA%CE%BB%CE%B1%CF%83%CE%B9%CF%82#Ancient_Greek) (antanáklasis). A figure of speech involving a pun, consisting of the repeated use of the same word, each time with different meanings.	https://en.wiktionary.org/wiki/antanaclasis	
antiptosis	The substitution of one case for another.	https://en.wiktionary.org/wiki/antiptosis	
antistrophe	In rhetoric, repeating the last word in successive phrases. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Since the time when from our state concord disappeared, liberty disappeared, good faith disappeared, friendship disappeared, the common weal disappeared.'" See also [epiphora](https://en.wiktionary.org/wiki/epiphora).	https://en.wiktionary.org/wiki/antistrophe	
antithesis	The juxtaposition of contrasting ideas in balanced or parallel words, phrases, or grammatical structures; the second stage of the dialectic process.	https://en.wiktionary.org/wiki/antithesis	
aphaeresis	The omission of a syllable from the beginning of a word.	https://en.wiktionary.org/wiki/aphaeresis	
apocope	The omission of the last letter or syllable of a word.	https://en.wiktionary.org/wiki/apocope	
apophasis/ apophesis	Pretending to deny something as a means of implicitly affirming it. Mentioning something by saying that you won't mention it.	https://en.wiktionary.org/wiki/apophasis	
aporia	An attempt to discredit an opposing viewpoint by casting doubt on it.	https://en.wiktionary.org/wiki/aporia	
aposiopesis	An abrupt stop in the middle of a sentence; used by a speaker to convey unwillingness or inability to complete a thought or statement.	https://en.wiktionary.org/wiki/aposiopesis	
apostrophe	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ἀποστροφή_](https://en.wiktionary.org/wiki/%E1%BC%80%CF%80%CE%BF%CF%83%CF%84%CF%81%CE%BF%CF%86%CE%AE#Ancient_Greek) (apostrophḗ). A figure of speech consisting of a sudden turn in a text towards an exclamatory address to an imaginary person or a thing.	https://en.wiktionary.org/wiki/apostrophe	
appeals	Rhetorical devices used to enhance the plausibility of one's argument; [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s appeals included [ethos](https://en.wiktionary.org/wiki/ethos), [logos](https://en.wiktionary.org/wiki/logos), and [pathos](https://en.wiktionary.org/wiki/pathos).	https://en.wiktionary.org/wiki/appeals	
arete	Virtue, excellence of character, qualities that would be inherent in a "natural leader," a component of _ethos_.	https://en.wiktionary.org/wiki/arete	
argument	Discourse characterized by reasons advanced to support conclusions.	https://en.wiktionary.org/wiki/argument	
argumentum ad baculum	Settling a question by appealing to force.	https://en.wiktionary.org/wiki/argumentum_ad_baculum	
argumentum ad hominem	Using what you know about your opponent's character as a basis for your argument.	https://en.wiktionary.org/wiki/argumentum_ad_hominem	
arrangement	See [dispositio](https://en.wiktionary.org/wiki/dispositio).	https://en.wiktionary.org/wiki/arrangement	
ars arengandi	Teaching of forensic speaking during the Medieval rhetorical era.	https://en.wiktionary.org/wiki/ars_arengandi	
ars dictaminis	The art of writing letters, introduced and taught during the Medieval rhetorical era.	https://en.wiktionary.org/wiki/ars_dictaminis	
ars poetria	Medieval teaching of grammar and style through analysis of poetry.	https://en.wiktionary.org/wiki/ars_poetria	
ars praedicandi	The art of preaching based on rhetorical ideas and introduced during the Medieval rhetorical era during an increasing intersection between rhetoric and religion.	https://en.wiktionary.org/wiki/ars_praedicandi	
artistic proofs	Rhetorically-produced methods for persuasion. For [Aristotle](https://en.wikipedia.org/wiki/Aristotle), three possibilities would be [ethos](https://en.wiktionary.org/wiki/ethos), [pathos](https://en.wiktionary.org/wiki/pathos), and [logos](https://en.wiktionary.org/wiki/logos).	https://en.wiktionary.org/wiki/artistic_proofs	
asyndeton	The deliberate omission of [conjunctions](https://en.wiktionary.org/wiki/conjunction) that would normally be used.	https://en.wiktionary.org/wiki/asyndeton	
audience	Real, imagined, invoked, or ignored, this is a concept that seems to be at the very center of the intersections of composing and rhetoric.	https://en.wiktionary.org/wiki/audience	
auxesis	To place words or phrases in a certain order to obtain a climactic effect, or to use a word or phrase which disproportionately amplifies something actually of a lesser nature.	https://en.wiktionary.org/wiki/auxesis	
axioms	The point where scientific reasoning starts. Principles that are not questioned.	https://en.wiktionary.org/wiki/axioms	
backing	Supporting an argument's merit.	https://en.wiktionary.org/wiki/backing	
barbarismus	Mispronunciation or unnatural word-usage.	https://en.wiktionary.org/wiki/barbarismus	
bases	The issues at question in a judicial case.	https://en.wiktionary.org/wiki/bases	
bathos	An emotional appeal that inadvertently evokes laughter or ridicule.	https://en.wiktionary.org/wiki/bathos	
bdelygma	Expression of hatred or contempt.	https://en.wiktionary.org/wiki/bdelygma	
belles lettres	Written works considered quality because they are pleasing to the senses.	https://en.wiktionary.org/wiki/belles_lettres	
belletristicmovement	Movement of rhetoric in the late 18th and early 19th centuries emphasizing stylistic considerations of rhetoric. It also expanded rhetoric into a study of literature and literary criticism and writing.	https://en.wiktionary.org/wiki/belletristic, https://en.wiktionary.org/wiki/movement	
bomphiologia	Bombastic speech.	https://en.wiktionary.org/wiki/bomphiologia	
brachylogia	Brevity of diction.	https://en.wiktionary.org/wiki/brachylogia	
brevitas	Concise expression.	https://en.wiktionary.org/wiki/brevitas	
burden of proof	Theory of argument giving the obligation of proving a case to the challenging party.	https://en.wiktionary.org/wiki/burden_of_proof	
canon	A term often used to discuss significant literary works in a specific field, used by [Cicero](https://en.wiktionary.org/wiki/Cicero) to outline five significant parts of the rhetorical composition process.	https://en.wiktionary.org/wiki/canon	
captatio benevoluntatiae	From [Latin](https://en.wikipedia.org/wiki/Latin). The part of a letter which secures the goodwill of the recipient.	https://en.wiktionary.org/wiki/captatio_benevoluntatiae	
catachresis	The inexact use of a similar word in place of the proper one to create an unlikely metaphor. For example (from _Rhetorica ad Herennium_), "'The power of man is short'" or "'the long wisdom in the man.'"	https://en.wiktionary.org/wiki/catachresis	
charisma	An attribute that allows a speaker's words to become powerful.	https://en.wiktionary.org/wiki/charisma	
circa rem	From [Latin](https://en.wikipedia.org/wiki/Latin). The circumstances _surrounding the act_ in one Roman topical system.	https://en.wiktionary.org/wiki/circa_rem	
claim	A primary point being made to support an argument. Or, the resulting conclusion to an argument. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/claim	
classicism	A revival in the interest of classical antiquity languages and texts.	https://en.wiktionary.org/wiki/classicism	
climax	Climax occurs when words or sentences are used to increase weight by mounting degrees in parallel construction.	https://en.wiktionary.org/wiki/climax	
colon	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_κῶλον_](https://en.wiktionary.org/wiki/%CE%BA%E1%BF%B6%CE%BB%CE%BF%CE%BD#Ancient_Greek) (kôlon). A rhetorical figure consisting of a clause which is grammatically, but not logically, complete.	https://en.wiktionary.org/wiki/colon	
common topics	Arguments and approaches useful in rhetorical settings; _koinoi topoi._	https://en.wiktionary.org/wiki/common_topics	
consubstantiality	Substance commonality.	https://en.wiktionary.org/wiki/consubstantiality	
conclusio	From [Latin](https://en.wikipedia.org/wiki/Latin). A letter's conclusion.	https://en.wiktionary.org/wiki/conclusio	
confirmatio	From [Latin](https://en.wikipedia.org/wiki/Latin). The section of a judicial speech (in Roman rhetorical theory) that offers evidence supporting the claims given during the statement of facts.	https://en.wiktionary.org/wiki/confirmatio	
confutatio	From [Latin](https://en.wikipedia.org/wiki/Latin). Counterargument in Roman rhetorical theory.	https://en.wiktionary.org/wiki/confutatio	
constraints	Referring to "persons, events, objects, and relations which are parts of the situation because they have the power to constrain decision and action needed to modify the exigence." Originally used by [Lloyd Bitzer](https://en.wikipedia.org/wiki/Lloyd_Bitzer).	https://en.wiktionary.org/wiki/constraints	
contingency	In rhetoric, it relates to the contextual circumstances that do not allow an issue to be settled with complete certainty.	https://en.wiktionary.org/wiki/contingency	
context	The circumstances surrounding an issue that should be considered during its discussion.	https://en.wiktionary.org/wiki/context	
conversio	From [Latin](https://en.wikipedia.org/wiki/Latin). Varying sentence structure to discover its most agreeable form.	https://en.wiktionary.org/wiki/conversio	
conversation model	The model, in critique of traditional rhetoric by [Sally Gearhart](https://en.wikipedia.org/wiki/Sally_Gearhart), that maintains the goal of rhetoric is to persuade others to accept your own personal view as correct.	https://en.wiktionary.org/wiki/conversation_model	
cookery	[Plato](https://en.wikipedia.org/wiki/Plato) believed rhetoric was to truth as cookery was to medicine. Cookery disguises itself as medicine and appears to be more pleasing, when in actuality it has no real benefit.	https://en.wiktionary.org/wiki/cookery	
critical theory	Systematically analyzing any means of communication for hidden assumptions and connotations.	https://en.wiktionary.org/wiki/critical_theory	
concession	Acknowlededment of objections to a proposal.	https://en.wiktionary.org/wiki/concession	
data	Initial evidence supporting a claim. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/data	
deconstruction	Analyzing communication artifacts by scrutinizing their meanings and related assumptions, with the goal of determining the social and systemic connotations behind their structure.	https://en.wiktionary.org/wiki/deconstruction	
deduction	Moving from an overall hypothesis to infer something specific about that hypothesis.	https://en.wiktionary.org/wiki/deduction	
delectare	To delight; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/delectare	
delivery	Fifth canon in [Cicero](https://en.wikipedia.org/wiki/Cicero)'s list of rhetorical canons; traditionally linked to oral rhetoric, refers to how a speech is given (including tone of voice and nonverbal gestures, among others).	https://en.wiktionary.org/wiki/delivery	
demos	The population of an ancient Greek state, considered a political entity; population; the common people.	https://en.wiktionary.org/wiki/demos	
dialectic	A rhetorical term that has been defined differently by Aristotle and Ramus, among others; generally, it means using verbal communication between people to discuss topics in order to come to an agreement about them.	https://en.wiktionary.org/wiki/dialectic	
diallage	Establishing a single point with the use of several arguments.	https://en.wiktionary.org/wiki/diallage	
dictamen	The art of writing letters.	https://en.wiktionary.org/wiki/dictamen	
dispositio	In the classical theory of the production of speech ([pronuntiatio](https://en.wiktionary.org/wiki/pronuntiatio)), dispositio refers to the stage of planning the structure and sequence of ideas. Often referred to as arrangement, the second of [Cicero](https://en.wikipedia.org/wiki/Cicero)'s five rhetorical canons.	https://en.wiktionary.org/wiki/dispositio	
dissoi logoi	Contradictory arguments.	https://en.wiktionary.org/wiki/dissoi_logoi	
distribution	Dividing a whole subject into its various parts.	https://en.wiktionary.org/wiki/distribution	
divisio	To divide into categories or classes.	https://en.wiktionary.org/wiki/divisio	
docere	To teach; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/docere	
dramatistic	A way to look at the nature of language stressing on language as an action. For example, it uses expressions such as 'thou shalt' and 'thou shalt not." ([Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke)).	https://en.wiktionary.org/wiki/dramatistic	
dysphemism	A term with negative associations for something in reality fairly innocuous or inoffensive.	https://en.wiktionary.org/wiki/dysphemism	
ecphonesis	A sentence consisting of a single word or short phrase ending with an [exclamation point](https://en.wiktionary.org/wiki/exclamation_point).	https://en.wiktionary.org/wiki/ecphonesis	
elocutio	In the classical theory of the production of a speech ([pronuntiatio](https://en.wiktionary.org/wiki/pronuntiatio)), elocution refers to the stage of elaborating the wording of a text, using correct grammar and diction.	https://en.wiktionary.org/wiki/elocutio	
enthymeme	A type of argument that is grounded in assumed commonalities between a rhetor and the audience. For example, "(claim 1) Bob is a person. Therefore, (claim 3) Bob is mortal." The assumption (unstated claim 2) is that "People are mortal." A type of [syllogism](https://en.wiktionary.org/wiki/syllogism). Started by [Aristotle](https://en.wikipedia.org/wiki/Aristotle).	https://en.wiktionary.org/wiki/enthymeme	
enumeratio	Making a point more forcibly by listing detailed causes or effects; to enumerate: count off or list one by one.	https://en.wiktionary.org/wiki/enumeratio	
epanaphora	In rhetoric, repeating the same word or phrase at the beginning of successive phrases for emphasis. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'To you must go the credit for this, to you are thanks due, to you will this act of yours bring glory.'"	https://en.wiktionary.org/wiki/epanaphora	
epideictic	Ceremonial rhetoric, such as might be found in a funeral or victory speech.	https://en.wiktionary.org/wiki/epideictic	
epiphora	The repetition of a phrase or word at the end of several sentences or clauses. Also see anaphora.	https://en.wiktionary.org/wiki/epiphora	
epistemology	Philosophical study directed at understanding how people gain knowledge.	https://en.wiktionary.org/wiki/epistemology	
epistrophe	A succession of clauses, phrases or sentences that all end with the same word or group of words.	https://en.wiktionary.org/wiki/epistrophe	
epithet	A term used as a descriptive and qualifying substitute for the name of a person, place or thing.	https://en.wiktionary.org/wiki/epithet	
epizeuxis	Emphasizing an idea using one word repetition.	https://en.wiktionary.org/wiki/epizeuxis	
ethos	A rhetorical appeal to an audience based on the speaker/writer's credibility.	https://en.wiktionary.org/wiki/ethos	
ethopoeia	The act of putting oneself into the character of another to convey that persons feelings and thoughts more vividly.	https://en.wiktionary.org/wiki/ethopoeia	
euphemism	An innocuous, inoffensive or circumlocutory term or phrase for something unpleasant or obscene.	https://en.wiktionary.org/wiki/euphemism	
evidence	In rhetoric, facts or testimony used to strengthen a claim.	https://en.wiktionary.org/wiki/evidence	
exemplum	The citation of an example, either truthful or fictitious.	https://en.wiktionary.org/wiki/exemplum	
exigence	A rhetorical call to action; a situation that compels someone to speak out.	https://en.wiktionary.org/wiki/exigence	
exordium	From [Latin](https://en.wikipedia.org/wiki/Latin) [_exordium_](https://en.wiktionary.org/wiki/exordium#Latin) (“[beginning](https://en.wiktionary.org/wiki/beginning)”). The introductory portion of an [oration](https://en.wiktionary.org/wiki/oration).	https://en.wiktionary.org/wiki/exordium	
expression	Applying the correct language to an argument.	https://en.wiktionary.org/wiki/expression	
fable	A short allegorical story.	https://en.wiktionary.org/wiki/fable	
facetiae	From [Latin](https://en.wikipedia.org/wiki/Latin). Humor or wit.	https://en.wiktionary.org/wiki/facetiae	
facilitas	The improvising of effective oral or written language to suit any situation.	https://en.wiktionary.org/wiki/facilitas	
faculty psychology	The mind contains faculties that include understanding, imagination, passion, and will. (18th century)	https://en.wiktionary.org/wiki/faculty_psychology	
false consciousness	A distorted view of reality, people, and the world. ([Jurgen Habermas](https://en.wikipedia.org/wiki/Jurgen_Habermas)).	https://en.wiktionary.org/wiki/false_consciousness	
feminist rhetoric	Rhetorical theory concerned with feminism and its critique of social structures.	https://en.wiktionary.org/wiki/feminist_rhetoric	
fictio	The attribution of rational traits to non-rational creatures.	https://en.wiktionary.org/wiki/fictio	
field-dependent	Standards for assessing arguments that are specific to a certain field. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/field-dependent	
field-invariant	Standards for assessing arguments that are not determined by the particular field. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/field-invariant	
figure	Unusual arrangement of language that tries to achieve unique meaning for ideas.	https://en.wiktionary.org/wiki/figure	
forensic oratory	speaking in a courtroom.	https://en.wiktionary.org/wiki/forensic_oratory	
forum	A way to complicate our notions of audience and to help writers consider important factors that affect planning and composing.	https://en.wiktionary.org/wiki/forum	
gens	From [Latin](https://en.wikipedia.org/wiki/Latin). An influential group of families.	https://en.wiktionary.org/wiki/gens	
genera	Plural of [genus](https://en.wiktionary.org/wiki/genus). Classification by race, kind, or possession of similarities; discriptive of different types of oratory.	https://en.wiktionary.org/wiki/genera	
graecismus	The use of Greek idiom.	https://en.wiktionary.org/wiki/graecismus	
hermeneutics	The theoretical underpinnings of interpreting texts, usually religious or literary.	https://en.wiktionary.org/wiki/hermeneutics	
heteroglossia	The many prolific languages of any culture.	https://en.wiktionary.org/wiki/heteroglossia	
heuristics	Determining or applying the proper methods for investigation.	https://en.wiktionary.org/wiki/heuristics	
homiologia	A tedious style or redundancy of style.	https://en.wiktionary.org/wiki/homiologia	
homoioteleuton	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ὁμοιοτέλευτον_](https://en.wiktionary.org/wiki/%E1%BD%81%CE%BC%CE%BF%CE%B9%CE%BF%CF%84%CE%AD%CE%BB%CE%B5%CF%85%CF%84%CE%BF%CF%82#Ancient_Greek) (homoiotéleuton). A figure of speech where adjacent or parallel words have similar endings.	https://en.wiktionary.org/wiki/homoioteleuton	
horismus	A brief and often antithetical definition.	https://en.wiktionary.org/wiki/horismus	
hyperbole	A figure of speech where emphasis is achieved through exaggeration, independently or through comparison. For example (from _Rhetorica ad Herennium_), "'His body was as white as snow, his face burned like fire.'"	https://en.wiktionary.org/wiki/hyperbole	
hypophora	When a speaker asks aloud what their adversaries have to say for themselves or against the speaker, and then proceeds to answer the question. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'When he reminded you of your old friendship, were you moved? No, you killed him nevertheless, and with even greater eagerness. And then when his children grovelled at your feet, were you moved to pity? No, in your extreme cruelty you even prevented their father's burial.'"	https://en.wiktionary.org/wiki/hypophora	
hypothesis	An educated guess.	https://en.wiktionary.org/wiki/hypothesis	
hypsos	Great or worthy writing, sometimes called sublime. Longinus's theme in [_On the Sublime_](https://en.wikipedia.org/wiki/On_the_Sublime).	https://en.wiktionary.org/wiki/hypsos	
hypozeuxis	A sentence in which every clause has its own subject and verb.	https://en.wiktionary.org/wiki/hypozeuxis	
icon	Using imagery to create resemblance.	https://en.wiktionary.org/wiki/icon	
identification	Connecting with a larger group through a shared interpretation or understanding of a larger concept; [Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke) was one of the first people to use the term in this way.	https://en.wiktionary.org/wiki/identification	
ideology	A way of understanding one's external surroundings.	https://en.wiktionary.org/wiki/ideology	
ignoratio elenchi	A conclusion that is irrelevant.	https://en.wiktionary.org/wiki/ignoratio_elenchi	
imitatio	From [Latin](https://en.wikipedia.org/wiki/Latin). Imitation.	https://en.wiktionary.org/wiki/imitatio	
inartistic proofs	Discovered information stemming from the raw data of experience.	https://en.wiktionary.org/wiki/inartistic_proofs	
indefinite questions	Questions that are discussed without referring to anything specifically. ([Quintilian](https://en.wikipedia.org/wiki/Quintilian))	https://en.wiktionary.org/wiki/indefinite_questions	
indignatio	To arouse indignation in the audience.	https://en.wiktionary.org/wiki/indignatio	
induction	Rhetorical method for coming to general conclusions through specific examples.	https://en.wiktionary.org/wiki/induction	
ingenium	From [Latin](https://en.wiktionary.org/wiki/Latin). The ability to understand similarities and relationships that is innate in all humans. ([Giambattista Vico](https://en.wikipedia.org/wiki/Giambattista_Vico))	https://en.wiktionary.org/wiki/ingenium	
in re	From [Latin](https://en.wiktionary.org/wiki/Latin). Arguments concerned with what actually happened.	https://en.wiktionary.org/wiki/in_re	
institutio oratoria	Educational and rhetorical principles as described and prescribed in treatise by [Quintilian](https://en.wikipedia.org/wiki/Quintilian).	https://en.wiktionary.org/wiki/institutio_oratoria	
insultatio	Abusing a person to their face by using irony and derisive language.	https://en.wiktionary.org/wiki/insultatio	
interlacement	Combining the figures [antistrophe](https://en.wiktionary.org/wiki/antistrophe) and [epanaphora](https://en.wiktionary.org/wiki/epanaphora) for rhetorical style and emphasis. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Who are they who have often broken treaties? The Carthaginians. Who are they who have waged ware with severest cruelty? The Carthaginians.'"	https://en.wiktionary.org/wiki/interlacement	
intersubjective agreements	agreements on the fair conduct of an argument among individuals participating in dialogue.	https://en.wiktionary.org/wiki/intersubjective_agreements	
invention	Described by [Cicero](https://en.wikipedia.org/wiki/Cicero) as the process of determining "valid or seemingly valid arguments;" the first of his five rhetorical canons.	https://en.wiktionary.org/wiki/invention	
invitational rhetoric	Rhetoric that is not intended to persuade. ([Sonja K. Foss](https://en.wikipedia.org/wiki/Sonja_K._Foss), Cindy L. Griffin)	https://en.wiktionary.org/wiki/invitational_rhetoric	
ioci	Jokes, see [Cicero](https://en.wikipedia.org/wiki/Cicero)'s [_De Oratore_](https://en.wikipedia.org/wiki/De_Oratore) and his theory of humor.	https://en.wiktionary.org/wiki/ioci	
irony	A deliberate contrast between indirect and direct meaning to draw attention to the opposite.	https://en.wiktionary.org/wiki/irony	
isocolon	A string of phrases of corresponding structure and equal length.	https://en.wiktionary.org/wiki/isocolon	
issues of definition	Things related to naming an act.	https://en.wiktionary.org/wiki/issues_of_definition	
issues of fact	Issues related to an act's occurrence.	https://en.wiktionary.org/wiki/issues_of_fact	
issues of quality	Issues related to the seriousness of an act.	https://en.wiktionary.org/wiki/issues_of_quality	
jargon	Highly technical language used by specific group.	https://en.wiktionary.org/wiki/jargon	
jian shi	From [Chinese](https://en.wikipedia.org/wiki/Chinese_language) [_諫士_](https://en.wiktionary.org/wiki/諫士)／[_谏士_](https://en.wiktionary.org/wiki/谏士) (_jiànshì_). Traveling political advisors common in ancient China.	https://en.wiktionary.org/wiki/jian_shi	
judicial	Type of oratory used to attack or defend someone.	https://en.wiktionary.org/wiki/judicial	
kairos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_καιρός_](https://en.wiktionary.org/wiki/%CE%BA%CE%B1%CE%B9%CF%81%CF%8C%CF%82#Ancient_Greek) (kairós). Generally means "timing" or "the right circumstances."	https://en.wiktionary.org/wiki/kairos	
kategoria	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Accusation.	https://en.wiktionary.org/wiki/kategoria#English	
koinoi topoi	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Common topics; in a rhetoric situation, useful arguments and strategies.	https://en.wiktionary.org/wiki/koinoi_topoi	
koinonia	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). To consult with your opponent or judge.	https://en.wiktionary.org/wiki/koinonia	
kolakeia	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Flattery; telling people what they want to hear while disregarding their best interests; employed by sophistic rhetoricians.	https://en.wiktionary.org/wiki/kolakeia	
latinitas	Stylistic feature involving the proper use of language.	https://en.wiktionary.org/wiki/latinitas	
lexis	Style.	https://en.wiktionary.org/wiki/lexis	
literae humanae	Academic disciplines that are known as the liberal arts: languages, philosophy, history, literature, music, art and certain abstact sciences.	https://en.wiktionary.org/wiki/literae_humanae	
litotes	Stating a positive by negating the negative — a form of understatement. ("I am not unaware of your difficulties.")	https://en.wiktionary.org/wiki/litotes	
localism	A word, phrase, or custom particular to one's location.	https://en.wiktionary.org/wiki/localism	
loci communes	Types of arguments. [Quintilian](https://en.wikipedia.org/wiki/Quintilian) trained orators to learn intellectual habits to access the arguments quickly.	https://en.wiktionary.org/wiki/loci_communes	
locution	Refers to the utterance of a statement.	https://en.wiktionary.org/wiki/locution	
logical fallacy	Misconceptions resulting from faulty reasoning.	https://en.wiktionary.org/wiki/logical_fallacy	
logical positivism	The effort to make scientific standards applicable for resolving all issues.	https://en.wiktionary.org/wiki/logical_positivism	
logical proof	Arguments used to persuade audience. Reasoned.	https://en.wiktionary.org/wiki/logical_proof	
logos	Rhetorical appeals based on logic or reasoning.	https://en.wiktionary.org/wiki/logos	
logology	Kenneth Burke. Study of the specific theological terms used. Not to find the truth or falseness of the statement, but why that particular word was chosen.	https://en.wiktionary.org/wiki/logology	
major premise	Statement in a syllogism. Generalization.	https://en.wiktionary.org/wiki/major_premise	
magnanimity	Doing good to others, "its opposite is meanness of spirit" (from [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s [_Rhetoric_](https://en.wikipedia.org/wiki/Rhetoric_(Aristotle))).	https://en.wiktionary.org/wiki/magnanimity	
material fallacy	False notion concerning the subject matter of an argument.	https://en.wiktionary.org/wiki/material_fallacy	
maxim	"A saying drawn from life, which shows concisely either what happens or ought to happen in life, for example: 'Every beginning is difficult.'" (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium))	https://en.wiktionary.org/wiki/maxim	
meiosis	A figure of speech in which a word or phrase diminutively substitutes as a reference for something actually of a greater nature.	https://en.wiktionary.org/wiki/meiosis	
memory	Described by [Cicero](https://en.wikipedia.org/wiki/Cicero) as the "firm mental grasp of matter and words;" the fourth of his five rhetorical canons.	https://en.wiktionary.org/wiki/memory	
meta-narratives	Universal theories positing to know all aspects of humanity.	https://en.wiktionary.org/wiki/meta-narratives	
metaphor	A figure of speech where a word that normally applies to one thing is used to designate another for the sake of creating a mental picture. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'...he lightly breathed a favoring breath'".	https://en.wiktionary.org/wiki/metaphor	
metonym	A figure of speech which substitutes one part for the whole. For example, to count how many cattle in a herd, one counts the heads. To describe the herd, one would say, "There are fifty head of cattle." This does not mean there are only heads, but the head is substituting for the whole animal.	https://en.wiktionary.org/wiki/metonym	
metonymy	A figure of speech which substitutes one word or phrase for another with which it is closely associated. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "one should say 'wine' for 'Liber', 'wheat' for 'Ceres'."	https://en.wiktionary.org/wiki/metonymy	
metron	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Measure.	https://en.wiktionary.org/wiki/metron	
