term	definition	term_links
Cas régime	Nom dans certaines langues dont le moyen français du cas [accusatif](#accusatif).	https://fr.wiktionary.org/wiki/cas_régime
Cas sujet	Nom dans certaines langues dont le moyen français du cas [nominatif](#nominatif).	https://fr.wiktionary.org/wiki/cas_sujet
Causatif	Se dit d’un mot qui indique la cause. Se dit d’un verbe qui sert à transcrire une action que le sujet fait exécuter par un autre élément que lui-même. En français, il s’exprime sous la forme faire + verbe.	https://fr.wiktionary.org/wiki/causatif
cf.	[abbréviation](#abbréviation) de la [locution](#locution) latine [_confer_](https://fr.wiktionary.org/wiki/confer) : consulter, voir.	https://fr.wiktionary.org/wiki/cf.
Chengyu	Type d’expression idiomatique fondamentale du chinois issue du chinois classique, composé de quatre caractères chinois, et donc, de quatre syllabes, sous la forme d’ellipse se référant à une histoire.	https://fr.wiktionary.org/wiki/chengyu
Circa	Mot latin voulant dire « aux alentours de » et employé relativement à une date.	https://fr.wiktionary.org/wiki/circa
Classique	Vocabulaire appartenant à, ou pouvant évoquer, un corpus d’œuvres classiques propres à la langue considérée. Pour rester neutre, ce jugement doit être attribué à des références linguistiques, sans être pris à son compte par le Wiktionnaire.	https://fr.wiktionary.org/wiki/classique
Collectif	substantif présentant à l'esprit l'idée de plusieurs individus de même nature, formant une collection prise comme un tout [singulier](#singulier).	https://fr.wiktionary.org/wiki/collectif
Commun	[Commun](https://fr.wiktionary.org/wiki/commun) (Genre) : Une des valeurs de [genre](#genre) grammatical possible dans certaines langues, entrant en compte dans la variation de forme des énoncés, exprimant que la terminaison est la même au masculin et au féminin.	https://fr.wiktionary.org/wiki/commun
Comparatif	Flexion d’un adjectif pour qu’il compare deux choses. En anglais, _the dog is bigger than the cat_ (« le chien est **plus grand** que le chat »).	https://fr.wiktionary.org/wiki/comparatif
Conditionnel	Temps verbal qui indique une possibilité. En français, _j’aimerais aller à la plage demain s’il fait beau_ ([aimer](https://fr.wiktionary.org/wiki/aimer) au conditionnel).	https://fr.wiktionary.org/wiki/conditionnel
Contemporain	Indique que l’orthographe du mot est celle en cours aujourd’hui, en opposition à une orthographe passée, d’avant une réforme orthographique.	https://fr.wiktionary.org/wiki/contemporain
Courant	Vocabulaire standard du [registre neutre](https://fr.wiktionary.org/wiki/registre_neutre) comprenant les mots de la langue commune compris par tous.	https://fr.wiktionary.org/wiki/courant
Courant	Indique que la [variante](https://fr.wiktionary.org/wiki/variante) d’un mot a une fréquence d’apparition dans le [corpus](https://fr.wiktionary.org/wiki/corpus) élevée.	https://fr.wiktionary.org/wiki/courant
mot-valise	Calque structural : Traduction mot-à-mot d’une locution venant d’une autre langue. En français, [_mot-valise_](https://fr.wiktionary.org/wiki/mot-valise) est la traduction littérale du mot anglais [_portmanteau word_](https://fr.wiktionary.org/wiki/portmanteau_word).	https://fr.wiktionary.org/wiki/mot-valise
opportunité	Calque sémantique : Sens nouveau donné à un mot d’une langue donnée par influence d’une autre langue. En français, [_opportunité_](https://fr.wiktionary.org/wiki/opportunité) au sens d’« occasion, condition favorable » est un calque de l’anglais [_opportunity_](https://fr.wiktionary.org/wiki/opportunity).	https://fr.wiktionary.org/wiki/opportunité
Datif	Déclinaison d’un nom qui indique l’objet indirect du verbe. En latin, _Marcus patri librum dat_ (« Marcus donne le livre **à son père** »).	https://fr.wiktionary.org/wiki/datif
Défectif	Caractérisation d’un verbe qui ne peut pas se conjuguer à tous les temps ou toutes les personnes. Par exemple en français, [_falloir_](https://fr.wiktionary.org/wiki/falloir) (troisième personne du singulier seulement) ou [_choir_](https://fr.wiktionary.org/wiki/choir) (pas de [imparfait](#I) indicatif).	https://fr.wiktionary.org/wiki/défectif
Dérision	Marque de moquerie souvent accompagnée de mépris.	https://fr.wiktionary.org/wiki/dérision
Désuet	[Inusité](https://fr.wiktionary.org/wiki/inusité), qui n’est plus employé par la langue moderne. À distinguer de [vieilli](#vieilli) (en cours de désuétude) et [archaïsme](#archaïsme) (plus employé car le système de la langue a changé ou l’objet a disparu).	https://fr.wiktionary.org/wiki/désuet
Diacritique	Marque sur une lettre qui permet d’indiquer la prononciation : _ç_, _à_, _ï_ et _û_ sont des lettres avec des diacritiques. Les _accents_ font partie des diacritiques.	https://fr.wiktionary.org/wiki/diacritique
Diaéthique	Variation d’une langue fondée sur des considérations [éthiques](https://fr.wiktionary.org/wiki/éthique), par exemple les considérations liées aux représentation de genre (dans le sens social, non grammatical) et à sa [performance](https://fr.wiktionary.org/wiki/performance_de_genre).	https://fr.wiktionary.org/wiki/diaéthique
Didactique	Terme utilisé pour l’explication ou l’enseignement.	https://fr.wiktionary.org/wiki/didactique
Diminutif	Qui a une signification plus faible ou plus adoucie que celui dont il est formé par l’addition d’une certaine terminaison.	https://fr.wiktionary.org/wiki/diminutif
Duel	Nombre grammatical qui existe dans certaines langues. Le duel est utilisé lorsqu’il y a précisément deux objets dont on parle. Valeur distincte de [singulier](#S) et [pluriel](#P).	https://fr.wiktionary.org/wiki/duel
Ellipse	Figure de style qui consiste à omettre un ou plusieurs éléments en principe nécessaires à la compréhension du texte, pour produire un effet de raccourci.	https://fr.wiktionary.org/wiki/ellipse
Emploi	[Emploi](https://fr.wiktionary.org/wiki/emploi) [intransitif](https://fr.wiktionary.org/wiki/intransitif) : Se dit de cas particuliers où un verbe transitif ne nécessite pas obligatoirement la présence d’un [complément d’objet](https://fr.wiktionary.org/wiki/complément_d’objet) pour être compris. En français : [boire](https://fr.wiktionary.org/wiki/boire) (_Bois ! Ça te fera du bien !_), [manger](https://fr.wiktionary.org/wiki/manger) (_Qu’est-ce que tu fais ? Je mange._), [prendre](https://fr.wiktionary.org/wiki/prendre) (_Tu veux un bonbon ? Prends !_)… ATTENTION : dire qu’un verbe peut avoir des emplois intransitifs ne le rend pas intransitif pour autant.	https://fr.wiktionary.org/wiki/emploi
En particulier	[En particulier](https://fr.wiktionary.org/wiki/en_particulier) → voir [particulier](#particulier).	https://fr.wiktionary.org/wiki/en_particulier
Ergatif	Se dit d’un verbe qui peut s’employer comme verbe [transitif](#T) ou [intransitif](#I) avec un sens [passif](#P) sous sa forme intransitive. En français, _j’ai fondu le chocolat_ (transitif) et _le chocolat a fondu_ (intransitif).	https://fr.wiktionary.org/wiki/ergatif
Épicène	[Épicène](https://fr.wiktionary.org/wiki/épicène) (Genre) : Désigne le cas où deux mots de même signification – à un genre biologique du désigné près, sont également identiques dans leur forme orale et écrite, après conversion de [genre](#genre) grammatical. Il se distingue donc du cas des [mots multigenres](https://fr.wiktionary.org/wiki/Catégorie:Noms_multigenres_en_français), qui partagent une même forme mais pas le même sens par ce type de conversion, tel _une œuvre_ et _un œuvre_. Certains termes réputés épicènes ont également des formes alternatives marquées par le genre. Par exemple _un philosophe_ et _une philosophe_ n’empêchent pas l’emploi avéré de la forme _une philosophesse_.	https://fr.wiktionary.org/wiki/épicène
Étymologie	Les racines d’un mot, son origine.	https://fr.wiktionary.org/wiki/étymologie
Euphémisme	Figure de style par laquelle on atténue une idée dont la formulation directe pourrait choquer, déplaire voire être jugée offensante. En français, [_non-voyant_](https://fr.wiktionary.org/wiki/non-voyant) remplace souvent [_aveugle_](https://fr.wiktionary.org/wiki/aveugle), « il repose en paix » pour dire « il est mort ».	https://fr.wiktionary.org/wiki/euphémisme
extension	Par [extension](https://fr.wiktionary.org/wiki/extension) → voir [par extension](#par_extension).	https://fr.wiktionary.org/wiki/extension
Familier	Vocabulaire du [registre familier](https://fr.wiktionary.org/wiki/registre_familier). Peut être aussi _Très familier_.	https://fr.wiktionary.org/wiki/familier
Féminin	[Féminin](https://fr.wiktionary.org/wiki/féminin) Une des valeurs de [Genre](#genre) grammatical possible dans certaines langues, entrant en compte dans la variation de forme des énoncés. Malgré son nom, elle peut référer aussi bien à des inanimés, que des animés de sexe quelconque.	https://fr.wiktionary.org/wiki/féminin
Figuré	[Figuré](https://fr.wiktionary.org/wiki/figuré) (sens) : Résultat d’une figure de style (métaphore, etc.). Contraire de [_propre_](#P).	https://fr.wiktionary.org/wiki/figuré
Flexion	Forme d’un mot qui n’est pas celle conventionnellement considérée comme la forme « standard » (celle qu’on trouve habituellement dans les dictionnaires), comme le pluriel en français, ou le génitif en latin. Antonyme : [lemme](#L).	https://fr.wiktionary.org/wiki/flexion
postfixé	Forme articulée : Forme d’un mot bulgare comprenant un article défini [postfixé](https://fr.wiktionary.org/wiki/postfixé).	https://fr.wiktionary.org/wiki/postfixé
arĥitekturisto	Forme fondamentale (pour l’espéranto) : forme de mot construite à partir des racines de l’Universala Vortaro ou des racines fondamentalisées par une Oficiala Aldono et qui est antérieure à l’officialisation d’une nouvelle racine par une Oficiala Aldono. Exemple : _[_arĥitekturisto_](https://fr.wiktionary.org/wiki/arĥitekturisto#eo)_ = [arĥitekturo](https://fr.wiktionary.org/wiki/arĥitekturo#eo) + [-ist-](https://fr.wiktionary.org/wiki/-ist-#eo) (avant la nouvelle racine 3OA _ "[_arĥitekto_](https://fr.wiktionary.org/wiki/arĥitekto#eo)"_).	https://fr.wiktionary.org/wiki/arĥitekturisto#eo
Formel	Utilisé dans certains dictionnaires comme un synonyme de [soutenu](#S). Contraire de [informel](#I).	https://fr.wiktionary.org/wiki/formel
Futur	Temps verbal qui indique ce qui va arriver dans l’avenir.	https://fr.wiktionary.org/wiki/futur
Génitif	Le cas génitif indique que quelque chose est possédé par quelque chose d’autre. En latin, [curriculum vitæ](https://fr.wiktionary.org/wiki/curriculum_vitæ#la) (« chemin **de la vie** »).	https://fr.wiktionary.org/wiki/génitif
Genre	Système de classement des noms et d’accord des adjectifs et d’autres mots selon les langues. Les genres les plus utilisés sont le [commun](#commun), le [féminin](#féminin), [masculin](#masculin), et le [neutre](#neutre). Les mots qui ne changent pas de forme bien qu’ils puissent désigner des entités mâles comme femelles sont dit [épicènes](#épicène).	https://fr.wiktionary.org/wiki/genre
Gérondif	Emploi du [participe présent](#P) d’un verbe comme un nom commun. En anglais, _I like watching TV_ (« j’aime **regarder** la télé »).	https://fr.wiktionary.org/wiki/gérondif
Hapax	Mot dont on n’a trouvé qu’une seule utilisation dans le [corpus](https://fr.wiktionary.org/wiki/corpus). Cette qualification relève des lexicographes et doit être référencée.	https://fr.wiktionary.org/wiki/hapax
Synonyme	[Synonyme](https://fr.wiktionary.org/wiki/synonyme) utilisé en poésie scaldique à la place du mot normal pour désigner quelque chose.	https://fr.wiktionary.org/wiki/synonyme
Holonyme	Mot qui désigne un tout dont le mot fait partie. Par exemple, _corps_ est un holonyme de [_bras_](https://fr.wiktionary.org/wiki/bras) et de [_tête_](https://fr.wiktionary.org/wiki/tête), [_Asie_](https://fr.wiktionary.org/wiki/Asie) est un holonyme de [_Inde_](https://fr.wiktionary.org/wiki/Inde) → voir [méronyme](#méronyme).	https://fr.wiktionary.org/wiki/holonyme
Homophone	Mot se prononçant pareil. _Mer_, _mère_ et _maire_ sont des homophones.	https://fr.wiktionary.org/wiki/homophone
Hyperbole	Figure de style qui consiste à augmenter ou à diminuer excessivement la vérité des choses.	https://fr.wiktionary.org/wiki/hyperbole
Hyperonyme	Mot dont le sens inclut (est plus général que) celui d’un autre mot. _Fruit_ est un hyperonyme de [_pomme_](https://fr.wiktionary.org/wiki/pomme) et de [_cerise_](https://fr.wiktionary.org/wiki/cerise) → voir [hyponyme](#hyponyme).	https://fr.wiktionary.org/wiki/hyperonyme
Hyponyme	Mot dont le sens est inclus (est plus spécifique que) dans celui d’un autre mot. _Pomme_ est un hyponyme de [_fruit_](https://fr.wiktionary.org/wiki/fruit) → voir [hyperonyme](#hyperonyme).	https://fr.wiktionary.org/wiki/hyponyme
Idiome	[Idiome](https://fr.wiktionary.org/wiki/idiome), [idiomatique](https://fr.wiktionary.org/wiki/idiomatique) : Phrase ou locution dont le sens est figuré. En français, [_se casser_](https://fr.wiktionary.org/wiki/se_casser), [_se tirer_](https://fr.wiktionary.org/wiki/se_tirer) au lieu de [_partir_](https://fr.wiktionary.org/wiki/partir).	https://fr.wiktionary.org/wiki/idiome
Imparfait	Temps qui indique une action habituelle du passé, ou une action interrompue. En français, _Je me lavais quand ma mère m’a appelé_ ([laver](https://fr.wiktionary.org/wiki/laver) à l’imparfait).	https://fr.wiktionary.org/wiki/imparfait
Imperfectif	Se dit des verbes décrivant une action en cours ou répétitive. Se trouve surtout dans les langues slaves → voir [perfectif](#perfectif).	https://fr.wiktionary.org/wiki/imperfectif
Impersonnel	verbe [défectif](https://fr.wiktionary.org/wiki/défectif) ne s'employant qu'à la 3 personne du singulier (falloir, pleuvoir…).	https://fr.wiktionary.org/wiki/impersonnel
Improprement	Utilisation erronée et trompeuse, mauvais usage d’un terme qui lui octroie un sens abusif qui n’est pas supposé être le sien (exemple : le terme « [chat sauvage](https://fr.wiktionary.org/wiki/chat_sauvage) » est parfois utilisé improprement pour désigner un [chat haret](https://fr.wiktionary.org/wiki/chat_haret)). Pour rester neutre, ce jugement de l’usage doit être attribué à des références linguistiques, sans être pris à son compte par le Wiktionnaire.	https://fr.wiktionary.org/wiki/improprement
Indénombrable	Qui ne peut être utilisé ni au pluriel ni directement avec un numéral, car le nom désigne une caractéristique commune plutôt que des objets séparés.	https://fr.wiktionary.org/wiki/indénombrable
Informel	Qui n’est pas soutenu, qui ne fait pas partie du registre formel. En français, dire le mot « [salut](https://fr.wiktionary.org/wiki/salut) » à la place de « [bonjour](https://fr.wiktionary.org/wiki/bonjour) » est informel.	https://fr.wiktionary.org/wiki/informel
Instrumental	[Déclinaison](https://fr.wiktionary.org/wiki/déclinaison) qui indique l’[agent](https://fr.wiktionary.org/wiki/agent) de la phrase.	https://fr.wiktionary.org/wiki/instrumental
Intransitif	[Intransitif](https://fr.wiktionary.org/wiki/intransitif), [intransitivité](https://fr.wiktionary.org/wiki/intransitivité) : Se dit des verbes qui ne sont pas suivis de [complément d'objet](#O). Par exemple, [_tomber_](https://fr.wiktionary.org/wiki/tomber) → voir [transitif](#transitif).	https://fr.wiktionary.org/wiki/intransitif
Invariable	Se dit d'un mot dont la forme ne change pas quel que soit le contexte. Par exemple, un adverbe, ou bien un nom ou un adjectif qui ne peut ni se mettre au pluriel, ni au féminin, ou bien dont l'écriture est la même dans tous les cas (comme [_gaz_](https://fr.wiktionary.org/wiki/gaz) par exemple).	https://fr.wiktionary.org/wiki/invariable
Ironique	Mot utilisé par [dérision](https://fr.wiktionary.org/wiki/dérision).	https://fr.wiktionary.org/wiki/ironique
Irrégulier	Se dit d'un verbe qui ne se suit pas une conjugaison régulière ; par exemple, le verbe [_aller_](https://fr.wiktionary.org/wiki/aller) (_je vais, tu vas_, etc.) est un verbe irrégulier. Se dit aussi d'un mot qui ne suit pas les règles habituelles, par exemple [_œil_](https://fr.wiktionary.org/wiki/œil) (pluriel : [_yeux_](https://fr.wiktionary.org/wiki/yeux)) et [_manger_](https://fr.wiktionary.org/wiki/manger) (je [_mangeais_](https://fr.wiktionary.org/wiki/mangeais) et non je *_mangais_).	https://fr.wiktionary.org/wiki/irrégulier
Lemme	Forme non fléchie d’un mot, conventionnellement présentée comme l’entrée principale dans un dictionnaire. Antonyme : [flexion](#F).	https://fr.wiktionary.org/wiki/lemme
Litote	Figure de style qui consiste à dire moins pour laisser entendre plus, souvent, mais pas forcément, à la négation. Exemples : « cette fille n’est pas mal » pour dire « cette fille est très jolie », « il n’est pas très futé » pour « il est très bête ». À ne pas confondre avec l’[euphémisme](#E) (confusion fréquente).	https://fr.wiktionary.org/wiki/litote
Littéraire	[Vocabulaire](https://fr.wiktionary.org/wiki/vocabulaire) [original](https://fr.wiktionary.org/wiki/original) ou très [recherché](https://fr.wiktionary.org/wiki/recherché), employé uniquement ou essentiellement dans des œuvres [littéraires](https://fr.wiktionary.org/wiki/littéraire).	https://fr.wiktionary.org/wiki/littéraire
Locatif	Déclinaison d’un nom ou d’un adjectif qui indique la position de quelque chose. Par exemple, en latin _Lutetiae habitat_ (« il habite **à** Paris »).	https://fr.wiktionary.org/wiki/locatif
Locution	Série de mots qui remplacent un mot simple. Par exemple, [_poisson rouge_](https://fr.wiktionary.org/wiki/poisson_rouge) est une locution nominale (qui remplace un nom) et [_faire des frais_](https://fr.wiktionary.org/wiki/faire_des_frais) est une locution verbale (qui remplace un verbe).	https://fr.wiktionary.org/wiki/locution
marque de commerce	Marque (déposée ou non) : Ce mot est issu d’une [marque de commerce](https://fr.wiktionary.org/wiki/marque_de_commerce).	https://fr.wiktionary.org/wiki/marque_de_commerce
Masculin	[Masculin](https://fr.wiktionary.org/wiki/masculin) Une des valeurs de [Genre](#genre) grammatical possible dans certaines langues, entrant en compte dans la variation de forme des énoncés. Malgré son nom, elle peut référer aussi bien à des inanimés, que des animés de sexe quelconque.	https://fr.wiktionary.org/wiki/masculin
Mécoupure	Segmentation non conforme à l’étymologie du groupe formé par un substantif et son déterminant.	https://fr.wiktionary.org/wiki/mécoupure
Mélioratif	Qui donne un sens plus favorable ; contraire de [péjoratif](#péjoratif).	https://fr.wiktionary.org/wiki/mélioratif
Méronyme	Se dit d’un mot qui décrit une partie de quelque chose d’autre. Par exemple, _bras_ est un méronyme de _corps_, _Inde_ est un méronyme de _Asie_ → voir [holonyme](#holonyme).	https://fr.wiktionary.org/wiki/méronyme
Métaphore	Fait de remplacer un mot par un autre mot ayant une [analogie](https://fr.wiktionary.org/wiki/analogie) de sens, particulièrement dans le cadre de références [culturelles](https://fr.wiktionary.org/wiki/culturel).	https://fr.wiktionary.org/wiki/métaphore
Métonyme	Mot ou phrase qui remplacent un autre mot ou phrase qui n’a pas strictement le même sens mais qui implique le même sens. Par exemple, _Bruxelles_ est un métonyme des _institutions de l’Union européenne_, _bouteille_ est un métonyme de _liquide contenu dans la bouteille_, _champagne_ est métonyme de _vin de Champagne_.	https://fr.wiktionary.org/wiki/métonyme
Moderne	Par rapport à un usage vieilli. → voir [fille de boutique](https://fr.wiktionary.org/wiki/fille_de_boutique).	https://fr.wiktionary.org/wiki/moderne
Mot-valise	Mot créé en fusionnant deux autres mots, souvent avec un peu de simplification. [_Pourriel_](https://fr.wiktionary.org/wiki/pourriel) est un mot-valise de [_poubelle_](https://fr.wiktionary.org/wiki/poubelle) et [_courriel_](https://fr.wiktionary.org/wiki/courriel).	https://fr.wiktionary.org/wiki/mot-valise
Néologisme	Mot, expression ou sens d’un mot (ou d’une expression) introduit récemment dans le langage.	https://fr.wiktionary.org/wiki/néologisme
Neutre	[Neutre](https://fr.wiktionary.org/wiki/neutre) (Genre) : Une des valeurs de [Genre](#genre) grammatical possible dans certaines langues, entrant en compte dans la variation de forme des énoncés. Malgré son nom, elle peut référer aussi bien à des inanimés, que des animés de sexe quelconque.	https://fr.wiktionary.org/wiki/neutre
Neutre	[Neutre](https://fr.wiktionary.org/wiki/neutre) (Registre) : Vocabulaire du [registre neutre](https://fr.wiktionary.org/wiki/registre_neutre).	https://fr.wiktionary.org/wiki/neutre
Noble	Vocabulaire du [registre noble](https://fr.wiktionary.org/wiki/registre_noble).	https://fr.wiktionary.org/wiki/noble
Nom	[Substantif](https://fr.wiktionary.org/wiki/substantif), mot qui décrit un objet ou un sentiment. En français, _maison_ et _réalité_ sont des noms. [Nom commun](https://fr.wiktionary.org/wiki/nom_commun) : Nom qui ne prend en général pas de [majuscule](https://fr.wiktionary.org/wiki/majuscule) car il décrit quelque chose d’ordinaire (comme _maison_ et _réalité_ ci-dessus). [Nom collectif](https://fr.wiktionary.org/wiki/nom_collectif) : Nom au singulier qui désigne un ensemble de référents. [Nom propre](https://fr.wiktionary.org/wiki/nom_propre) : Nom qui désigne généralement quelque chose d’unique, et prend normalement une majuscule. Il s’agit surtout de marques déposées ([Honda](https://fr.wikipedia.org/wiki/Honda), [Microsoft](https://fr.wikipedia.org/wiki/Microsoft)), de noms et de prénoms ([Emmanuelle](https://fr.wiktionary.org/wiki/Emmanuelle), [Béart](https://fr.wiktionary.org/wiki/Béart), [Confucius](https://fr.wiktionary.org/wiki/Confucius)) ou de [toponymes](https://fr.wiktionary.org/wiki/toponyme) ([Belgique](https://fr.wiktionary.org/wiki/Belgique), [Londres](https://fr.wiktionary.org/wiki/Londres), [Delaware](https://fr.wiktionary.org/wiki/Delaware)).	https://fr.wiktionary.org/wiki/nom
Nombre	Indication de la cardinalité d’un objet ou sujet. Les trois nombres les plus utilisés sont le singulier, le pluriel et le duel.	https://fr.wiktionary.org/wiki/nombre
Nominatif	Le cas sujet, le sujet de la phrase. Dans la phrase latine _cattus canem mordet_, le mot [_cattus_](https://fr.wiktionary.org/wiki/cattus) (« [chat](https://fr.wiktionary.org/wiki/chat) ») est au cas nominatif. Également nommé [cas sujet](https://fr.wiktionary.org/wiki/cas_sujet).	https://fr.wiktionary.org/wiki/nominatif
Non	[Non](https://fr.wiktionary.org/wiki/non) [comparable](https://fr.wiktionary.org/wiki/comparable) : Adjectif qui n’a pas de [comparatif](https://fr.wiktionary.org/wiki/comparatif) ni de [superlatif](https://fr.wiktionary.org/wiki/superlatif). En anglais, qui n’a pas de comparatif en [_-er_](https://fr.wiktionary.org/wiki/-er#en) ni de superlatif en [_-est_](https://fr.wiktionary.org/wiki/-est#en), et ne peut être employé avec [_more_](https://fr.wiktionary.org/wiki/more) ou [_most_](https://fr.wiktionary.org/wiki/most). Exemple : "[triangulaire](https://fr.wiktionary.org/wiki/triangulaire)" ; un objet, une figure n'est pas plus triangulaire qu'une autre, elle l'est ou ne l'est pas. On fera attention avec certains adjectifs, utilisés dans des expressions (plus [mort](https://fr.wiktionary.org/wiki/mort) que [vif](https://fr.wiktionary.org/wiki/vif)).	https://fr.wiktionary.org/wiki/non
Nom commun	Nom qui ne prend en général pas de [majuscule](https://fr.wiktionary.org/wiki/majuscule) car il décrit quelque chose d’ordinaire (comme _maison_ et _réalité_ ci-dessus). [Nom collectif](https://fr.wiktionary.org/wiki/nom_collectif) : Nom au singulier qui désigne un ensemble de référents.	https://fr.wiktionary.org/wiki/nom_commun
