term	definition	term_links	wikidata_qid
épanalepse	[Poétique] répétition d'un groupe de mots ou plus souvent un vers à travers une ou plusieurs strophes (voir aussi Pantoum )	Q2167367	Q2167367
épanaphore	[Rhétorique] répétition d'une même formule au début de phrases ou de segments de phrase successifs, dans la même structure syntaxique	Q3589041	Q3589041
épanadiplose	[Rhétorique et stylistique] répétition d'une expression, d'un groupe de mots, d'une réplique à travers un discours (insistance, hantise, effet comique...)	Q1346372	Q1346372
épanode	Répétition de groupes de mots qui semblent fonctionner de manière autonome alors que la poursuite du texte montre que ces termes étaient en réalité les annonces d'un développement dont ils constituent les éléments	Q3589049	Q3589049
épiphore	[Poétique] répétition d'un mot ou d'un vers en fin de strophe	Q963102	Q963102
épizeuxe	Répétition contiguë d'un même terme sans coordination	Q993201	Q993201
expolition	Figure proche de l' accumulation qui consiste à répéter un même argument sous des formes diverses	Q3062199	Q3062199
figura etymologica	Assemblage de mots différents venant réellement ou apparemment d'une même racine étymologique ; proche de la traductio		
homéoptote	Répétition de formes morpho-syntaxiques sur la base d'un parallélisme grammatical des marqueurs morphologiques ou morphèmes	Q3139911	Q3139911
isocolon	Figure de style de répétition qui consiste à former un nombre égal ou quasi égal de syllabes dans une unité d'une période, généralement parce que ces groupes de mots utilisent la même structure syntaxique ; proche du parallélisme	Q3155492	Q3155492
palilogie	Répétition d'un mot pour l'accentuer	Q1346391	Q1346391
paronomase	Répétition visant à rapprocher des paronymes au sein du même énoncé		
polyptote	Répétition de plusieurs termes de même racine, ou encore un même verbe sous différentes formes. Le mot subit des variations morpho-syntaxiques	Q680469	Q680469
symploque	Répétition d'un ou plusieurs mots commençant et terminant une proposition, combinant l'anaphore et l'épiphore selon un schéma : A___B / A___B	Q660149	Q660149
thématisation	Répétition, généralement au début de phrase ou de vers, d'un élément repris ensuite (thème du propos) afin de le mettre en relief	Q63105	Q63105
traductio	Répétition à l'intérieur du même vers d'un mot ou d'une série de mots mais avec une variation grammaticale (de temps, de mode, etc.) ; proche de la paronomase Ou répétition de mots ayant ou semblant avoir une même racine étymologique ; proche de la figura etymologica	Q1962866	Q1962866
allusion	Expression d'une idée sans l’articuler en avançant une autre idée à sa place	Q506667	Q506667
anadiplose	Reprise d'un même mot en fin de phrase et en début de phrase suivante ; proche de la concaténation . L' épanadiplose et l'anadiplose sont des formes particulières d' épanalepses	Q483690	Q483690
autocatégorème	Répétition d'une accusation envers soi, délibérée ou feinte, afin de susciter une dénégation de l'interlocuteur	Q2872535	Q2872535
autocorrection	Reprise volontaire de paroles que l'on vient d'énoncer afin de les reformuler avec plus de justesse ou plus de force. Voir épanorthose	Q2872544	Q2872544
cliché	Répétition d'une image ou d'une tournure usées par un emploi fréquent et populaire et hautement prévisible et souvent littéraire ou artistique	Q156351	Q156351
hyperbole	Amplification d'un énoncé. C'est la principale figure de l'exagération	Q181036	Q181036
métaphore filée	Suite de métaphores sur le même thème. La première métaphore en engendre d'autres, construites à partir du même comparant, et développant un champ lexical dans la suite du texte	Q1763329	Q1763329
parrhésie	Figure d'adjonction qui consiste à dire ce qu'on a de plus intime en cherchant ses mots ; proche de la licence et du "franc parler"	Q384975	Q384975
périssologie	Faute d’écriture par redondance, qui consiste à l’ajout d’un ou de plusieurs détails inutiles qui n’apportent rien à la compréhension d’une idée ni à l’expression de cette idée, sinon pour l’alourdir ; proche du pléonasme	Q3412002	Q3412002
phébus	Obscurcissement du discours en répétant des arguments identiques ; proche du galimatias	Q3382095	Q3382095
poncif	Répétition d'une expression banale et conventionnelle ; proche du lieu commun ou du cliché	Q1500906	Q1500906
redondance	[Stylistique] répétition monotone de la même idée en plusieurs formulations différentes au sein d'une même phrase. Voir pléonasme	Q375728	Q375728
topos	Répétition d'un lieu commun ou d'un cliché admis par tous	Q1500906	Q1500906
épenthèse	addition interne d'un phonème ou d'une syllabe que l'étymologie ne justifie pas ou pour en faciliter l'articulation (sens phonétique) ou obtenir un effet particulier (sens stylistique) la paragoge est un ajout à la fin du mot et la prothèse , au début	Q878035	Q878035
antépiphore	Répétition d'un même groupe de mots (ou d'un même vers) au début et à la fin d'un paragraphe (ou d'une strophe) produisant un effet de clôture ; proche de l' épiphore , de l' épanadiplose et de l' anaphore	Q2857711	Q2857711
anticlimax	Gradation négative opposée à une gradation positive, ou, par effet d' antithèse , expression négative qui suit une gradation positive	Q10413463	Q10413463
auxèse	Accumulation de termes ou d'expressions d'une grande intensité ou hyperboliques, à gradation positive	Q2873202	Q2873202
énumération	Accumulation, les uns à la suite des autres, de plusieurs éléments de même niveau syntaxique, coordonnés ou non	Q3589010	Q3589010
épiphonème	Sentence ou réflexion d'opinion générale exprimée au cours d'un développement pour servir de conclusion ou d'illustration marquante (procédé utilisé dans les fables)	Q2311336	Q2311336
épiphrase	[Rhétorique] pensée de portée générale ajoutée après un développement, mais inséparable de l'argumentation.	Q1347223	Q1347223
épithétisme	[Rhétorique] accumulation de précisions descriptives ou explicatives autour d'une idée centrale	Q3589311	Q3589311
hypotypose	« L'aurore aux doigts de rose » — Homère « Sur les blancs nénuphars, l'oiseau ployant ses ailes , Buvait de son bec rose en ce bassin charmant » — Leconte de Lisle , Poèmes barbares, La fontaine aux lianes	Q1641487	Q1641487
épitrochasme	Accumulation de mots brefs, dans un vers ou une phrase, qui produit des effets rythmiques particuliers	Q3589312	Q3589312
gradation	Accumulation de termes ou d'expressions dont l'intensité s'accentue dans un sens positif ou dans un sens négatif	Q3303353	Q3303353
hyperhypotaxe	Insertion de subordonnées en trop grand nombre	Q3144137	Q3144137
hypotaxe	Consiste à enrichir une phrase ou un propos par une succession de propositions coordonnées par des mots de liaison	Q1641440	Q1641440
mot-valise	Elusion d'au moins deux autres mots existant dans la langue ; proche du néologisme et de l' haplologie	Q208674	Q208674
néologisme	Création et utilisation d'un mot ou d'une expression qu'on vient de former à partir d'éléments déjà existants dans la langue elle-même ; proche du mot-valise	Q130989	Q130989
paradoxisme	Association de deux termes ou de deux idées antithétiques	Q17636333	Q17636333
paraphrase	[Rhétorique ou lyrisme poétique] accumulation, au cours d'un développement, d'idées accessoires afin de renforcer une idée centrale, proche de la reformulation et de la traduction	Q255189	Q255189
parembole	Inclusion dans une phrase ou à un ensemble de phrases des parenthèses discursives dans lesquelles le sens de la phrase incidente a un rapport direct avec le sujet de la phrase principale ; proche de la parenthèse et de l' hyperhypotaxe	Q3364992	Q3364992
périphrase	Consiste à désigner quelque chose ou quelqu'un sans dire son nom ; proche de l' épithète homérique , de l' antonomase , de la circonlocution , et du kenning	Q1095194	Q1095194
polysyndète	Ajout d'une conjonction de coordination au début de chacun des membres de la ou des phrase(s), le plus souvent alors qu'elle n'y est pas nécessaire	Q426492	Q426492
pronomination	Figure de style qui consiste à évoquer un objet sans directement le nommer, à l'aide d'une expression choisie qui l'évoque par une qualité ou un attribut qui lui sont particuliers ou intrinsèques, et le faire reconnaître dans cette caractéristique.	Q3407462	Q3407462
suspension	Consiste à mettre le lecteur ou l'auditeur dans l'attente impatiente de ce qu'on a annoncé mais pas encore dit afin de le tenir en haleine ou pour mettre en relief une idée ou une expression ; proche de la prétérition	Q3505716	Q3505716
synchise	Défaut qui consiste à rompre le déroulement syntaxique par des parenthèses innombrables qui laissent en suspens les constructions et finissent par rendre la phrase inintelligible.	Q3508159	Q3508159
tapinose	Accumulation de termes ou d'expressions d'une grande intensité ou hyperboliques à gradation négative	Q3515458	Q3515458
amphigouri	Discours obscur et incompréhensible rendu possible par une accumulation de détails ou d'arguments ; le galimatias est une variante. L'article regroupe toutes les figures désignant un discours obscur à la limite de la faute de langage	Q2844256	Q2844256
antilogie	Consiste en une contradiction ou incompatibilité entre deux idées ou deux opinions dans une même phrase ou un même texte	Q577567	Q577567
chleuasme	Consiste à en rajouter sur soi-même en se dépréciant pour mieux se dédouaner, ou pour recevoir des éloges ; figure ironique		
comparaison	Mise en relation d'un objet, d'une circonstance, d'un concept ou d'une qualité (dit comparé ) avec un autre élément (dit comparant ) au moyen d'un terme introduisant l' analogie	Q199714	Q199714
épanorthose	[Rhétorique et Poétique] affirmation suivie d'une ou de plusieurs expressions correctrices de renforcement, d'atténuation ou de rétractation, afin de la nuancer	Q1135275	Q1135275
oxymore	[Stylistique] réunion dans un même syntagme de deux mots sémantiquement opposés mais appartenant à des catégories grammaticales différentes aboutissant à une image improbable, frappante, proche du paradoxe et de l' antithèse	Q169429	Q169429
paradoxe	[Rhétorique] exposition d'une idée qui apparaît d'abord contraire au sens commun (voir aussi paradoxisme )	Q483372	Q483372
pléonasme	Ajout d'un ou plusieurs mots choisis qui ne sont pas nécessaires au sens grammatical de la phrase mais par lesquels l'expression d'une idée est, soit renforcée, soit précisée	Q188741	Q188741
régression	Reprise, dans le cours de la phrase, des mots employés afin de les placer dans un ordre inverse	Q3455869	Q3455869
tautologie	Redondance sémantique qui consiste à attribuer à une chose une qualité soit contenue dans la définition du mot, soit assumée par la nature de la chose. Ou redondance logique qui affirme une idée qui va de soi pour tout le monde	Q841606	Q841606
truisme	Expression évidente et n'apportant aucune information		
lipogramme	consiste à ne pas utiliser sciemment une lettre donnée	Q836165	Q836165
élision	amuïssement de la voyelle finale d’un mot devant un autre mot à initiale vocalique	Q650250	Q650250
syncope	disparition d'un ou plusieurs phonèmes au sein d'un même mot	Q1136950	Q1136950
asyndète	suppression des liens logiques et des conjonctions dans une phrase ; proche de l’ accumulation		
ellipse	[Rhétorique] consiste à omettre un ou plusieurs éléments en principe nécessaires à la compréhension du texte, pour produire un effet de raccourci. [Stylistique] ellipse temporelle ou diégétique : omission d'un moment de l'action pour l'accélérer ou pour dissimuler une information		
parataxe	juxtaposition des phrases, sans mot de liaison explicitant le rapport syntaxique de subordination ou de coordination qui les unit ; contraire de l' hypotaxe		
syllepse	syllepse grammaticale: effacement des règles morpho-syntaxiques d’accord fondée sur l’accord des mots selon un sens préféré et non selon la stricte grammaire		
zeugma	[syntaxique] ellipse fait de ne pas répéter un élément commun dans une phrase présentant deux membres parallèles (souvent d'un nombre différent).		
anacoluthe	« Vêtu de probité candide et de lin blanc. » — Victor Hugo , Booz endormi	Q484456	Q484456
amphibologie	ambiguïté grammaticale et syntaxique qui donne lieu à diverses interprétations d'une même phrase		
antiphrase	emploi, dans une situation caractérisée, des mots contraires à sa pensée pour mieux l'exprimer. Cette figure qui sous-tend l'ironie est proche de la litote , de l' antithèse et de l' euphémisme		
aphorisme	formule brève qui résume l'essentiel d'une pensée		
apophtegme	parole mémorable ayant valeur de maxime		
aposiopèse	consiste à interrompre une phrase ou un vers sans achever sa pensée		
brachylogie	emploi d'une expression elliptique, ou plus courte qu'une autre aboutissant à un discours bref, variante de l' ellipse (rhétorique)		
euphémisme	atténuation ou adoucissement d'une idée déplaisante		
gnomisme	figure d’effacement (d’une démonstration logique notamment) sous forme de sentence, de proverbes ou de maximes, généralement pour exprimer une vérité morale, une leçon, une règle de vie, un conseil ; proche de l’ enthymème		
kakemphaton	consiste en un jeu de mots, souvent un calembour ou apparenté, réalisé involontairement	Q3192042	Q3192042
parabole	consistant en une courte histoire qui utilise les événements quotidiens pour illustrer une morale ou une doctrine, proche de l' allégorie et de la maxime	Q208555	Q208555
prétérition	parler de quelque chose après avoir annoncé que l'on ne va pas en parler	Q1376885	Q1376885
antilabe	réarrangement d'un même vers, qui est morcelé en plusieurs répliques sous forme de phrases indépendantes		
antimétabole	chiasme qui consiste à reprendre les mots d'une phrase dans une autre mais en en modifiant l'ordre de présentation, proche de l' anadiplose et de l' épanadiplose		
chiasme	inversion syntaxique de la seconde de deux propositions normalement symétriques		
énallage	changement brusque de temps, de mode, de nombre ou de genre, afin de dramatiser une situation.		
hendiadys	remplacement de la subordination entre deux mots par une coordination	Q1456360	Q1456360
hypallage	Échange de points de vue ou d'images entre deux idées. Voir aussi Catachrèse		
hyperbate	prolongation de la phrase, par l'ajout d'un élément qui se trouve ainsi déplacé.		
hypozeuxe	[stylistique] maintien, par des mots associés, du parallélisme entre les termes d'une énumération pour l'équilibre ou la cadence de la phrase		
inversion	[Poétique] inversion de l’ordre habituel des mots sans nuire à la compréhension (commodité de versification ou mise en valeur de mots)		
parallélisme	succession de deux segments de phrase qui ont la même construction syntaxique en un rapport de symétrie et de répétition, proche de l' anaphore et du chiasme . L' hypozeuxe en est une variante		
tmèse (rhétorique)	variante de l' hyperbate qui consiste en la division d'un mot composé, dont les parties se retrouvent séparées par un ou plusieurs mots		
antiparastase	figure de réarrangement consistant à s'appuyer sur un argument faible pour le retourner en sa faveur		
antithèse	rapprochement rapide de deux idées dont le sens est opposé ou logiquement éloigné, proche de l' oxymore et du parallélisme	Q487994	Q487994
apostrophe	[rhétorique] aparté au milieu d'un discours pour interpeller un objet ou une personne symbolique		
métalepse	[Stylistique] figure de style qui consiste à prendre la cause pour la conséquence. [Narrative] Intrusion ou implication du narrateur extérieur dans son propre discours.		
prolepse	[syntaxe] expression anticipée, dans le COD de la principale, du sujet de la subordonnée comme dans « Regarde cette auto, comme elle est belle » [stylistique] emploi d'un terme (souvent un adjectif), qui représente par concision un état antérieur ou postérieur au moment de l'énoncé [rhétorique] réfutation anticipée d'une objection possible. [narratologie] la prolepse - ou anticipation - est une figure de style par laquelle sont mentionnés des faits qui se produiront bien plus tard		
anantapodoton	substitution de la structure syntaxique du premier membre d'une phrase alternative (en « ou bien… ou bien »), par une formule synthétique, souvent exclamative		
astéisme	figure d' ironie consistant en une louange ou une flatterie adroite faisant semblant de blâmer ou de se plaindre de quelqu'un	Q2868641	Q2868641
constructio ad sensum	accord entre le verbe et le sujet non par les règles de grammaire mais par le sens ; autre nom de la syllepse grammaticale		
hendiatris	repose sur l'utilisation de trois mots, employés pour exprimer une idée ou une image.		
solécisme	Faute de syntaxe (construction incorrecte) permettant d'aboutir à un langage populaire proche du barbarisme	Q1545853	Q1545853
verbigération	synonymes d' amphigouri . Flux de paroles inutiles n'apportant aucune nouvelle information, proche du phébus et du galimatias		
antonomase	Emploi d'un nom propre à la place d'un nom commun ou inversement ; variante de la métonymie		
chosification	Transformation ou transposition d'une abstraction en un objet concret, visant à appréhender un concept, comme une chose concrète, variante de l' allégorie		
circonlocution	forme d' ironie qui consiste en l'allongement de l’expression visant à masquer son embarras ou à dissimuler une idée		
digression	Introduction de propos étranger au sujet général d'un discours, d'un débat, d'un écrit		
éthopée	Description des mœurs d'un personnage, variante de l' hypotypose		
ironie	Consiste à dire le contraire de ce qu'on veut entendre dans le but de railler, non de tromper		
litote	Déguiser sa pensée de façon à la faire deviner dans toute sa force	Q324939	Q324939
métaphore	Consiste à utiliser un mot à la place d'un autre, sur la base de la ressemblance ou de l'opposition		
métonymie	Remplace une idée par une autre qui lui est associée		
personnification	Consiste à faire d'un être inanimé ou d'une abstraction un personnage réel proche de l' allégorie (rhétorique)		
prosopographie	Description animée et comme vivante d'un personnage ou d'un groupe de personnages, variante de l' hypotypose		
prosopopée	consiste à donner la parole à un absent, à une personne, à un animal ou à un être inanimé qui est personnifié, variante de l' hypotypose	Q13409844	Q13409844
question rhétorique	fausse question destinée à garder la parole ou à émouvoir		
sermocination	utilisation d'un personnage imaginaire, historique ou abstrait pour évoquer ses assertions ; variante de la prosopopée		
symbole	énoncé narratif ou descriptif polysémique, susceptible d'une double interprétation sur le plan de la réalité et sur le plan des idées ; lien indirect qui unit une image et une idée ou un concept reposant sur une métonymie ou une métaphore et à l'origine de l' allégorie		
synecdoque	Consiste à prendre la partie pour le tout, proche de la métaphore		
