term	definition	term_links
čas(téžtempus)	kategorie [slovesa](#sloveso) členící časové kontinuum do menších částí (např. v češtině do času minulého, přítomného a budoucího), zvláště vzhledem k okamžiku promluvy a aktuálnosti či neaktuálnosti; viz [Wikipedie](https://cs.wikipedia.org/wiki/Čas%20(mluvnice))	https://cs.wiktionary.org/wiki/čas, https://cs.wiktionary.org/wiki/tempus
časování	viz [konjugace](#konjugace)	https://cs.wiktionary.org/wiki/časování
částice(téžpartikule)	[slovní druh](#slovní_druh) vyjadřující různé gramatické a modální vztahy ve větě nebo vztahy mezi mluvčím a obsahem věty (postoje, včetně otázky a záporu); viz [Wikipedie](https://cs.wikipedia.org/wiki/Částice%20(slovní%20druh))	https://cs.wiktionary.org/wiki/částice, https://cs.wiktionary.org/wiki/partikule
číslo(téžnumerus)	[gramatická](#gramatika) kategorie vyjadřující počet (množství); většina [jazyků](#jazyk) včetně češtiny rozlišuje [číslo jednotné](#číslo_jednotné) ([singulár](#singulár)) a [číslo množné](#číslo_množné) ([plurál](#plurál)); některé [jazyky](#jazyk) mají další kategorie čísel ([duál](#duál), [triál](#triál), [kvadrál](#kvadrál), [paukál](#paukál), [distributiv](#distributiv) aj.)	https://cs.wiktionary.org/wiki/číslo
číslo jednotné	viz [singulár](#singulár)	https://cs.wiktionary.org/wiki/číslo_jednotné?action=edit&redlink=1
číslo množné	viz [plurál](#plurál)	https://cs.wiktionary.org/wiki/číslo_množné?action=edit&redlink=1
číslovka(téžnumerale)	[slovní druh](#slovní_druh) vyjadřující kvantitu, resp. přesné množství; viz [Wikipedie](https://cs.wikipedia.org/wiki/Číslovka)	https://cs.wiktionary.org/wiki/číslovka, https://cs.wiktionary.org/wiki/numerale?action=edit&redlink=1
dativ	mluvnický [pád](#pád), kterým se vyjadřuje zejména nepřímý (obvykle životný) [objekt](#objekt), popř. i směr nebo cíl děje; v češtině 3. pád; viz [Wikipedie](https://cs.wikipedia.org/wiki/Dativ)	https://cs.wiktionary.org/wiki/dativ
deklinace	tvoření [pádových](#pád) forem [jmen](#jméno)	https://cs.wiktionary.org/wiki/deklinace
delativ		https://cs.wiktionary.org/wiki/delativ?action=edit&redlink=1
denotát		https://cs.wiktionary.org/wiki/denotát
dialekt(téžnářečí)	jazykový útvar ([varieta](#varieta)) omezený na určité území a lišící se od jiných dialektů nebo [spisovného jazyka](#jazyk_spisovný); viz [Wikipedie](https://cs.wikipedia.org/wiki/Nářečí)	https://cs.wiktionary.org/wiki/dialekt, https://cs.wiktionary.org/wiki/nářečí
dialekt sociální	viz [sociolekt](#sociolekt)	https://cs.wiktionary.org/wiki/dialekt_sociální?action=edit&redlink=1
diminutivum(téžzdrobnělina,slovo zdrobnělé)	[slovo](#slovo) se zdrobnělým významem ve srovnání s neutrálním slovem příbuzným, často s pozitivními konotacemi; opakem je [augmentativum](#augmentativum); viz [Wikipedie](https://cs.wikipedia.org/wiki/Zdrobnělina)	https://cs.wiktionary.org/wiki/diminutivum?action=edit&redlink=1, https://cs.wiktionary.org/wiki/zdrobnělina, https://cs.wiktionary.org/wiki/slovo_zdrobnělé?action=edit&redlink=1
distributiv		https://cs.wiktionary.org/wiki/distributiv?action=edit&redlink=1
duál		https://cs.wiktionary.org/wiki/duál
dubleta		https://cs.wiktionary.org/wiki/dubleta?action=edit&redlink=1
ekvativ		https://cs.wiktionary.org/wiki/ekvativ?action=edit&redlink=1
elativ	mluvnický [pád](#pád) vnitřního východiska pohybu či děje (základním významem je "z místa pryč"); v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Elativ)	https://cs.wiktionary.org/wiki/elativ
epenteze	vkládání nebo vsouvání dalších [hlásek](#hláska) do [slova](#slovo) pro ulehčení [výslovnosti](#výslovnost) obtížně artikulovatelných shluků; rozlišuje se [proteze](#proteze) a [anaptyxe](#anaptyxe)	https://cs.wiktionary.org/wiki/epenteze?action=edit&redlink=1
essiv	mluvnický [pád](#pád) vyjadřující existenci nebo momentální funkci nebo roli něčeho či někoho někde; v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Essiv)	https://cs.wiktionary.org/wiki/essiv?action=edit&redlink=1
etnonymum	vlastní jméno kmene nebo národa; viz [Wikipedie](https://cs.wikipedia.org/wiki/Etnonymum)	https://cs.wiktionary.org/wiki/etnonymum?action=edit&redlink=1
etymologie		https://cs.wiktionary.org/wiki/etymologie
eufemismus		https://cs.wiktionary.org/wiki/eufemismus
ezáfet		https://cs.wiktionary.org/wiki/ezáfet?action=edit&redlink=1
femininum(téžrod ženský)	jeden ze [jmenných rodů](#rod_jmenný)	https://cs.wiktionary.org/wiki/femininum, https://cs.wiktionary.org/wiki/rod_ženský?action=edit&redlink=1
figura	[jazyková jednotka](#jazyková_jednotka), která nenese význam; zejména [foném](#foném), [slabika](#slabika), [písmeno](#písmeno); viz [Wikipedie](https://cs.wikipedia.org/wiki/Figura%20(lingvistika))	https://cs.wiktionary.org/wiki/figura
fiktonym		https://cs.wiktionary.org/wiki/fiktonym?action=edit&redlink=1
finál		https://cs.wiktionary.org/wiki/finál?action=edit&redlink=1
flexe	tvoření [morfologických](#morfologie) [tvarů](#tvar) [slov](#slovo) - [deklinace](#deklinace) a [konjugace](#konjugace)	https://cs.wiktionary.org/wiki/flexe
foném		https://cs.wiktionary.org/wiki/foném
fonetika		https://cs.wiktionary.org/wiki/fonetika?action=edit&redlink=1
fonologie		https://cs.wiktionary.org/wiki/fonologie?action=edit&redlink=1
fráze		https://cs.wiktionary.org/wiki/fráze
frazém(téžfrazeologismus)	základní jednotka [frazeologie](#frazeologie); kombinace prvků (obvykle slov nebo slovních spojení) různých funkcí a typů, z nichž alespoň jeden je z hlediska ostatních členem „extrémně omezeného a uzavřeného [paradigmatu](#paradigma)”; viz [Wikipedie](https://cs.wikipedia.org/wiki/Frazém)	https://cs.wiktionary.org/wiki/frazém, https://cs.wiktionary.org/wiki/frazeologismus?action=edit&redlink=1
frazeologie		https://cs.wiktionary.org/wiki/frazeologie
futurum		https://cs.wiktionary.org/wiki/futurum
futurum II		https://cs.wiktionary.org/wiki/futurum_II?action=edit&redlink=1
genitiv	[pád](#pád), který nese [jméno](#jméno) vztahující se k jinému [jménu](#jméno), typicky přímo („_trest smrti_“), nebo jako součást [předložkové](#předložka) skupiny („_klíče od domu_“), může ho však nést i [jméno](#jméno) vztahující se ke [slovesu](#sloveso) („_litovat omylu_“) a [adjektivu](#adjektivum) („_plný vína_“), ať už přímo nebo jako součást [předložkové](#předložka) skupiny („_číst bez brýlí_“, „_smutný z prohry_“)	https://cs.wiktionary.org/wiki/genitiv
genus	viz [rod jmenný](#rod_jmenný)	https://cs.wiktionary.org/wiki/genus
genus verbi	viz [rod slovesný](#rod_slovesný)	https://cs.wiktionary.org/wiki/genus_verbi?action=edit&redlink=1
gerundium		https://cs.wiktionary.org/wiki/gerundium
gerundivum	trpné [participium](https://cs.wiktionary.org/wiki/participium) budoucího času, vyjadřující nutnost, záhodnost; vyskytující se např. v latině či němčině; na rozdíl od gerundia má adjektivní a přívlastkovou povahu	https://cs.wiktionary.org/wiki/gerundivum?action=edit&redlink=1
glosém		https://cs.wiktionary.org/wiki/glosém?action=edit&redlink=1
gradace		https://cs.wiktionary.org/wiki/gradace
gramatika		https://cs.wiktionary.org/wiki/gramatika
hláska		https://cs.wiktionary.org/wiki/hláska
homofon		https://cs.wiktionary.org/wiki/homofon
homograf		https://cs.wiktionary.org/wiki/homograf?action=edit&redlink=1
homonymum		https://cs.wiktionary.org/wiki/homonymum
hypokoristikum(téžhypokoristikon)	domácké nebo mazlivé jméno, někdy též i zdrobnělé (např. Jarek); viz [Wikipedie](https://cs.wikipedia.org/wiki/Hypokoristikon)	https://cs.wiktionary.org/wiki/hypokoristikum?action=edit&redlink=1, https://cs.wiktionary.org/wiki/hypokoristikon?action=edit&redlink=1
idiolekt	jazyk jednotlivce; tj. jeho osobní „výběr“ z celonárodního jazyka; viz [Wikipedie](https://cs.wikipedia.org/wiki/Idiolekt)	https://cs.wiktionary.org/wiki/idiolekt
idiom	(a) ustálené [slovní spojení](#slovní_spojení) (přesněji [frazém](#frazém)) typické pro určitý [jazyk](#jazyk), zpravidla nepřeložitelné doslova; viz [Wikipedie](https://cs.wikipedia.org/wiki/Idiom) / (b) (úžeji) [frazém](#frazém), jehož význam není odvoditelný (derivovatelný) z významu jeho částí ([komponentů](#komponent)); viz [Wikipedie](https://cs.wikipedia.org/wiki/Idiom)	https://cs.wiktionary.org/wiki/idiom
ilativ		https://cs.wiktionary.org/wiki/ilativ?action=edit&redlink=1
imperativ		https://cs.wiktionary.org/wiki/imperativ
imperfektum		https://cs.wiktionary.org/wiki/imperfektum?action=edit&redlink=1
inanimatum(téžrod mužskýneživotný)	jeden ze [jmenných rodů](#rod_jmenný) patřící pod [maskulina](#maskulinum) (zejm. ve slovanských [jazycích](#jazyk))	https://cs.wiktionary.org/wiki/inanimatum?action=edit&redlink=1, https://cs.wiktionary.org/wiki/rod_mužský?action=edit&redlink=1, https://cs.wiktionary.org/wiki/neživotný
indikativ		https://cs.wiktionary.org/wiki/indikativ
inanimatum		https://cs.wiktionary.org/wiki/inanimatum?action=edit&redlink=1
inesiv		https://cs.wiktionary.org/wiki/inesiv?action=edit&redlink=1
infinitiv		https://cs.wiktionary.org/wiki/infinitiv
infix	viz [vpona](#vpona)	https://cs.wiktionary.org/wiki/infix?action=edit&redlink=1
instrumentál		https://cs.wiktionary.org/wiki/instrumentál
interjekce	viz [citoslovce](#citoslovce)	https://cs.wiktionary.org/wiki/interjekce
intranzitivní		https://cs.wiktionary.org/wiki/intranzitivní
IPA	[International Phonetic Alphabet](https://cs.wiktionary.org/wiki/International_Phonetic_Alphabet?action=edit&redlink=1) — [MFA](https://cs.wiktionary.org/wiki/MFA?action=edit&redlink=1), [mezinárodní fonetická abeceda](https://cs.wiktionary.org/wiki/mezinárodní_fonetická_abeceda); viz [Wikipedie](https://cs.wikipedia.org/wiki/Mezinárodní%20fonetická%20abeceda)	https://cs.wiktionary.org/wiki/IPA
jazyk	v mozku uložený systém jednotek, pravidel, modelů a konvenčních kolektivních norem sloužící k tvorbě promluv; základní prostředek lidské komunikace; viz [Wikipedie](https://cs.wikipedia.org/wiki/Jazyk%20(lingvistika))	https://cs.wiktionary.org/wiki/jazyk
jazyk spisovný		https://cs.wiktionary.org/wiki/jazyk_spisovný?action=edit&redlink=1
jazyková jednotka	minimální, na dané rovině [jazykového](#jazyk) systému dále nerozložitelná abstraktní jednotka	https://cs.wiktionary.org/wiki/jazyková_jednotka?action=edit&redlink=1
jmenný rod	viz [rod jmenný](#rod_jmenný)	https://cs.wiktionary.org/wiki/jmenný_rod?action=edit&redlink=1
jméno(téžnomen)	souhrnné označení pro [substantivum](#substantivum), [adjektivum](#adjektivum), [zájmeno](#zájmeno) a [číslovku](#číslovka); nezaměňovat s [vlastními jmény](#vlastní_jméno) (!); viz [Wikipedie](https://cs.wikipedia.org/wiki/Jméno%20(mluvnice))	https://cs.wiktionary.org/wiki/jméno, https://cs.wiktionary.org/wiki/nomen
jméno obecné	viz [apelativum](#apelativum)	https://cs.wiktionary.org/wiki/jméno_obecné?action=edit&redlink=1
jméno vlastní	viz [proprium](#proprium)	https://cs.wiktionary.org/wiki/jméno_vlastní?action=edit&redlink=1
kalk		https://cs.wiktionary.org/wiki/kalk
kardinalium		https://cs.wiktionary.org/wiki/kardinalium?action=edit&redlink=1
kauzál		https://cs.wiktionary.org/wiki/kauzál?action=edit&redlink=1
kmen		https://cs.wiktionary.org/wiki/kmen
kolokace		https://cs.wiktionary.org/wiki/kolokace
kolokvialismus		https://cs.wiktionary.org/wiki/kolokvialismus?action=edit&redlink=1
komitativ		https://cs.wiktionary.org/wiki/komitativ?action=edit&redlink=1
komparace		https://cs.wiktionary.org/wiki/komparace?action=edit&redlink=1
komparativ		https://cs.wiktionary.org/wiki/komparativ
kompozitum		https://cs.wiktionary.org/wiki/kompozitum
koncovka		https://cs.wiktionary.org/wiki/koncovka
kondicionál		https://cs.wiktionary.org/wiki/kondicionál
konjugace(téžčasování)	vyjadřování [slovesných](#sloveso) [gramatických](#gramatika) kategorií (v češtině [osoba](#osoba), [číslo](#číslo), [čas](#čas), [způsob](#způsob), [rod](#rod), [vid](#vid), řady dalších v jiných [jazycích](#jazyk))	https://cs.wiktionary.org/wiki/konjugace
konjunkce	viz [spojka](#spojka)	https://cs.wiktionary.org/wiki/konjunkce
konjunktiv		https://cs.wiktionary.org/wiki/konjunktiv?action=edit&redlink=1
konsekutivní čas		https://cs.wiktionary.org/wiki/konsekutivní_čas?action=edit&redlink=1
konsonanta		https://cs.wiktionary.org/wiki/konsonanta?action=edit&redlink=1
křestní jméno	viz [rodné jméno](#rodné_jméno)	https://cs.wiktionary.org/wiki/křestní_jméno
kvadrál		https://cs.wiktionary.org/wiki/kvadrál?action=edit&redlink=1
langue	jazyk jako abstraktní systém; viz [Wikipedie](https://cs.wikipedia.org/wiki/Langue)	https://cs.wiktionary.org/wiki/langue
lemma		https://cs.wiktionary.org/wiki/lemma
lokál		https://cs.wiktionary.org/wiki/lokál
maskulinum(téžrod mužský)	jeden ze [jmenných rodů](#rod_jmenný); ve slovanských [jazycích](#jazyk) (tedy i v češtině) se dále člení na maskulina životná ([animata](#animatum)) a neživotná ([inanimata](#inanimatum))	https://cs.wiktionary.org/wiki/maskulinum, https://cs.wiktionary.org/wiki/rod_mužský?action=edit&redlink=1
metafora		https://cs.wiktionary.org/wiki/metafora
moce		https://cs.wiktionary.org/wiki/moce?action=edit&redlink=1
modální sloveso		https://cs.wiktionary.org/wiki/modální_sloveso?action=edit&redlink=1
morfém	nejmenší [jazyková jednotka](#jazyková_jednotka) s vlastním (věcným nebo [gramatickým](#gramatika)) významem; viz [Wikipedie](https://cs.wikipedia.org/wiki/Morfém)	https://cs.wiktionary.org/wiki/morfém
morfologická operace	obecná operace, jíž se tvoří [slovo](#slovo) nebo jeho [tvar](#tvar)	https://cs.wiktionary.org/wiki/morfologická_operace?action=edit&redlink=1
morfologie		https://cs.wiktionary.org/wiki/morfologie
morfoném		https://cs.wiktionary.org/wiki/morfoném?action=edit&redlink=1
multiverbizace		https://cs.wiktionary.org/wiki/multiverbizace?action=edit&redlink=1
nářečí	viz [dialekt](#dialekt)	https://cs.wiktionary.org/wiki/nářečí
neologismus		https://cs.wiktionary.org/wiki/neologismus
neutrum(téžrod střední)	jeden ze [jmenných rodů](#rod_jmenný)	https://cs.wiktionary.org/wiki/neutrum, https://cs.wiktionary.org/wiki/rod_střední?action=edit&redlink=1
nominativ		https://cs.wiktionary.org/wiki/nominativ
notarikon		https://cs.wiktionary.org/wiki/notarikon?action=edit&redlink=1
neutrum		https://cs.wiktionary.org/wiki/neutrum
numerale	viz [číslovka](#číslovka)	https://cs.wiktionary.org/wiki/numerale?action=edit&redlink=1
numerus	viz [číslo](#číslo)	https://cs.wiktionary.org/wiki/numerus
objekt		https://cs.wiktionary.org/wiki/objekt
okazionalismus	příležitostný, zpravidla jednorázový autorský [neologismus](#neologismus) často nějak ozvláštňující situaci nebo vyjadřující osobní postoj pisatele či mluvčího	https://cs.wiktionary.org/wiki/okazionalismus
onkání	oslovování [osoby](#osoba) pomocí 3. [osoby](#osoba) [jednotného čísla](#jednotné_číslo) ("_Přeje si pan ředitel něco?"_)	https://cs.wiktionary.org/wiki/onkání?action=edit&redlink=1
onomastika(téžonomatologie)	část [lingvistiky](#lingvistika) studující a popisující [propria](#proprium); viz [Wikipedie](https://cs.wikipedia.org/wiki/Onomastika)	https://cs.wiktionary.org/wiki/onomastika, https://cs.wiktionary.org/wiki/onomatologie?action=edit&redlink=1
onomatologie	viz [onomastika](#onomastika)	https://cs.wiktionary.org/wiki/onomatologie?action=edit&redlink=1
onomatopoia(též zvukomalebná citoslovce)	část [citoslovcí](#citoslovce), jejichž forma víceméně věrně odráží zvuky reálného světa (např. "[kuku](https://cs.wiktionary.org/wiki/kuku)" jako zvuk kukačky); viz [Wikipedie](https://cs.wikipedia.org/wiki/Onomatopoeia)	https://cs.wiktionary.org/wiki/onomatopoia?action=edit&redlink=1
onomatopoický	zvukomalebný, patřící k [onomatopoii](#onomatopoia)	https://cs.wiktionary.org/wiki/onomatopoický
opozitum	viz [antonymum](#antonymum)	https://cs.wiktionary.org/wiki/opozitum
ordinalium		https://cs.wiktionary.org/wiki/ordinalium?action=edit&redlink=1
ortoepie		https://cs.wiktionary.org/wiki/ortoepie?action=edit&redlink=1
ortofonie		https://cs.wiktionary.org/wiki/ortofonie?action=edit&redlink=1
ortografie		https://cs.wiktionary.org/wiki/ortografie?action=edit&redlink=1
osoba	[gramatická](#gramatika) kategorie vyjadřující vztah mezi mluvčím (1. osoba), adresátem (2. osoba) a ostatními (3. osoba)	https://cs.wiktionary.org/wiki/osoba
pád	gramatická kategorie zpravidla odpovídající relaci mezi jménem a jiným výrazem [věty](#věta)	https://cs.wiktionary.org/wiki/pád
palindrom	[slovo](#slovo), [slovní spojení](#slovní_spojení) nebo [věta](#věta) znějící zepředu i zezadu stejně, obvykle za účelem jazykové hříčky; viz [Wikipedie](https://cs.wikipedia.org/wiki/Palindrom)	https://cs.wiktionary.org/wiki/palindrom
paremium(téžparémium[29])	[přísloví](#přísloví), [pořekladlo](#pořekadlo), [úsloví](#úsloví); viz [Wikipedie](https://cs.wikipedia.org/wiki/Přísloví)	https://cs.wiktionary.org/wiki/paremium?action=edit&redlink=1, https://cs.wiktionary.org/wiki/parémium?action=edit&redlink=1
participium	viz [příčestí](#příčestí)	https://cs.wiktionary.org/wiki/participium
partikule	viz [částice](#částice)	https://cs.wiktionary.org/wiki/partikule
partitiv		https://cs.wiktionary.org/wiki/partitiv?action=edit&redlink=1
pasivum		https://cs.wiktionary.org/wiki/pasivum
paukál		https://cs.wiktionary.org/wiki/paukál?action=edit&redlink=1
perfektum		https://cs.wiktionary.org/wiki/perfektum?action=edit&redlink=1
písmeno		https://cs.wiktionary.org/wiki/písmeno
plurál		https://cs.wiktionary.org/wiki/plurál
plurale tantum		https://cs.wiktionary.org/wiki/plurale_tantum
plusquamperfektum		https://cs.wiktionary.org/wiki/plusquamperfektum?action=edit&redlink=1
podmět	viz [subjekt](#subjekt)	https://cs.wiktionary.org/wiki/podmět
pořekadlo		https://cs.wiktionary.org/wiki/pořekadlo
podstatné jméno	viz [substantivum](#substantivum)	https://cs.wiktionary.org/wiki/podstatné_jméno
pomocné sloveso		https://cs.wiktionary.org/wiki/pomocné_sloveso
posesivita	přivlastňování	https://cs.wiktionary.org/wiki/posesivita?action=edit&redlink=1
posesivum		https://cs.wiktionary.org/wiki/posesivum?action=edit&redlink=1
postpozice	viz [záložka](#záložka)	https://cs.wiktionary.org/wiki/postpozice?action=edit&redlink=1
predikace(téžpřisuzování)	vztah spojující [predikát](#predikát) se [subjektem](#subjekt) a připisující [subjektu](#subjekt) nějakou činnost, stav, vlastnost apod. vyjádřenou [predikátem](#predikát); viz [Wikipedie](https://cs.wikipedia.org/wiki/Předložka)	https://cs.wiktionary.org/wiki/predikace?action=edit&redlink=1, https://cs.wiktionary.org/wiki/přisuzování?action=edit&redlink=1
predikát(téžpřísudek)	jeden ze dvou základních [větných členů](#větný_člen), který něco vypovídá o [subjektu](#subjekt); viz [Wikipedie](https://cs.wikipedia.org/wiki/Přísudek)	https://cs.wiktionary.org/wiki/predikát, https://cs.wiktionary.org/wiki/přísudek
predikativum		https://cs.wiktionary.org/wiki/predikativum?action=edit&redlink=1
prefix	viz [předpona](#předpona)	https://cs.wiktionary.org/wiki/prefix
prepozice	viz [předložka](#předložka)	https://cs.wiktionary.org/wiki/prepozice
preteritum		https://cs.wiktionary.org/wiki/preteritum?action=edit&redlink=1
prezens		https://cs.wiktionary.org/wiki/prezens?action=edit&redlink=1
pronomen	viz [zájmeno](#zájmeno)	https://cs.wiktionary.org/wiki/pronomen
proprium		https://cs.wiktionary.org/wiki/proprium
protetický	mající povahu [proteze](#proteze); sloužící [protezi](#proteze) nebo z ní vyplývající; viz [Wikipedie](https://cs.wikipedia.org/wiki/Proteze)	https://cs.wiktionary.org/wiki/protetický
