WikiData QID	parent	ML_ID	label	description	wiktionary
		ML_MORPH-VALUE_ACCUSATIVE-CASE	accusative case	A [case](#case) that is usually used as the [direct object](#direct_object) of a [verb](#verb). For example, if English had a fully [productive](#productive) case system, then _ball_ in "The man threw the ball" would most likely be in the accusative.	https://en.wiktionary.org/wiki/accusative_case
		ML_CUSTOM_ACTIVE-VOICE	active voice	The [voice](#voice) verb form in which the grammatical [subject](#subject) is the person or thing doing the action (compare [passive voice](#passive_voice)), e.g. _The boy kicked the ball._ (See also [_voice_](#voice))	https://en.wiktionary.org/wiki/active_voice
		ML_CUSTOM_AD	AD	[Anno Domini](https://en.wiktionary.org/wiki/anno_Domini) (Latin for "in the year of the Lord"). Year-numbering system equivalent to [CE](https://en.wiktionary.org/wiki/CE).	https://en.wiktionary.org/wiki/AD
		ML_CUSTOM_ADJ	adj	_See [_adjective_](#adjective)._	
		ML_POS_ADVERB	adverb	A word like [_very_](https://en.wiktionary.org/wiki/very#English), [_wickedly_](https://en.wiktionary.org/wiki/wickedly#English) or [_often_](https://en.wiktionary.org/wiki/often#English) that usually serves to modify an [adjective](#adjective), [verb](#verb), or other adverb.	https://en.wiktionary.org/wiki/adverb
		ML_POS_ADVERBIAL	adverbial	Relating to an [adverb](#adverb). For example, an _adverbial participle_ is a [participle](#participle) that functions like an adverb in a sentence.	https://en.wiktionary.org/wiki/adverbial
		ML_POS_ADVERBIAL-CLAUSE	adverbial clause	A type of [dependent clause](#dependent_clause) that modifies a verb in an [adverbial](#adverbial) fashion. Examples are _When my friend arrives, I will take him out to dinner_ and _If it rains, I will go home_ (the latter example being specifically a _conditional clause_).	https://en.wiktionary.org/wiki/adverbial_clause
		ML_CUSTOM_AHD	AHD	The [American Heritage Dictionary](https://en.wikipedia.org/wiki/American_Heritage_Dictionary). / For historical reasons, this abbreviation is sometimes used here to identify a respelled pronunciation that is given in [enPR](#enPR) form.	
		ML_CUSTOM_ANIMATE	animate	Having a [referent](https://en.wiktionary.org/wiki/referent) that includes a human or animal. Many languages (such as the [Slavic languages](https://en.wikipedia.org/wiki/Slavic_languages)) classify nouns based on animacy, using different [inflections](#inflection) or words with animate and inanimate nouns.	https://en.wiktionary.org/wiki/animate
		ML_CUSTOM_ANTEPENULTIMA	antepenultima	The third-to-last [syllable](#syllable) of a word, before the [penultima](#penultima).	https://en.wiktionary.org/wiki/antepenultima
		ML_CUSTOM_ANTONYM	antonym	A word with a meaning that is the opposite of a meaning of another word. For example, [_good_](https://en.wiktionary.org/wiki/good#English) is an antonym of [_bad_](https://en.wiktionary.org/wiki/bad#English). / Contrast [synonym](#synonym).	https://en.wiktionary.org/wiki/antonym
		ML_CUSTOM_AORIST	aorist	A grammatical category of [verbs](#verb) that is often a [perfective](#perfective) past.	https://en.wiktionary.org/wiki/aorist
		ML_CUSTOM_APHESIS	aphesis	The removal or omission of an initial unstressed vowel from a word, a type of [apheresis](#apheresis).	https://en.wiktionary.org/wiki/aphesis
		ML_CUSTOM_APPLICATIVE	applicative	A grammatical voice or verb form where an oblique argument of the verb is promoted to a core argument.	https://en.wiktionary.org/wiki/applicative
		ML_CUSTOM_APPROXIMANT	approximant	A [consonant](#consonant) sound produced by restricting the air flow through the mouth only slightly, resulting in a smooth sound. In English, the approximants are /l/, /ɹ/, /w/, /j/ (as in the initial sounds of _loo_, _rue_, _woo_ and _you_). Approximants are distinguished from [fricatives](#fricative), in which the air is constricted enough to cause a rough, hissing or buzzing sound, and [plosives](#plosive), in which the air is blocked completely for a short period of time.	https://en.wiktionary.org/wiki/approximant
		ML_CUSTOM_ARCHAIC	archaic	No longer in general use, but still found in some contemporary texts that aim for an antique style, like historical novels. For example, [_thee_](https://en.wiktionary.org/wiki/thee#English) and [_thou_](https://en.wiktionary.org/wiki/thou#English) are archaic pronouns, having been almost completely superseded by [_you_](https://en.wiktionary.org/wiki/you#English). _Archaic_ is a stronger term than [_dated_](#dated), but not as strong as [_obsolete_](#obsolete). (See [Wiktionary:Obsolete and archaic terms](https://en.wiktionary.org/wiki/Wiktionary:Obsolete_and_archaic_terms).) Whereas an archaic term names a still-extant thing or non-outdated concept, a [historical](#historical) term names a former thing or outdated concept.	https://en.wiktionary.org/wiki/archaic
		ML_CUSTOM_AREAL	areal	Distributed across multiple languages inhabiting a particular area, due to [language contact](https://en.wikipedia.org/wiki/language_contact) among them rather than due to [inheritance](https://en.wiktionary.org/wiki/inheritance) from a common ancestor. The term can be applied either to words (see [_loanword_](#loanword)) or features of languages such as in [grammar](https://en.wikipedia.org/wiki/grammar), [morphology](https://en.wikipedia.org/wiki/morphology), and [phonology](https://en.wikipedia.org/wiki/phonology). See also [_Wanderwort_](#wanderwort) and [_stratum_](#stratum).	https://en.wiktionary.org/wiki/areal
		ML_CUSTOM_ARTICLE	article	A type of [determiner](#determiner) that is used as a grammatical indicator in some languages, and is usually central to the grammar and syntax of that language. In English, the articles are the [definite](#definite) article [_the_](https://en.wiktionary.org/wiki/the#English), and the [indefinite](#indefinite) articles [_a_](https://en.wiktionary.org/wiki/a#English) and [_an_](https://en.wiktionary.org/wiki/an#English). Some languages may have more articles, such as the French [partitive](#partitive) articles [_du_](https://en.wiktionary.org/wiki/du#French), [_de la_](https://en.wiktionary.org/wiki/de_la#French) and [_des_](https://en.wiktionary.org/wiki/des#French), while many languages lack articles altogether.	https://en.wiktionary.org/wiki/article
		ML_CUSTOM_ASPECT	aspect	A property of a verb form indicating the nature of an action as [perfective](#perfective) (complete) or [imperfective](#imperfective) (incomplete or continuing).	https://en.wiktionary.org/wiki/aspect
		ML_CUSTOM_ASPIRATEDH	aspiratedh	In French, an initial ⟨h⟩ that is treated as a [consonant](#consonant); that is to say, [liaison](https://en.wiktionary.org/wiki/liaison) and [elision](https://en.wiktionary.org/wiki/elision) are not permitted at the beginning of a word with an aspirated ⟨h⟩.	https://en.wiktionary.org/wiki/aspirated_h
		ML_CUSTOM_ASSIMILATION	assimilation	Assimilation is a common phonological process by which one sound becomes more like a nearby sound. This can occur either within a word or between words. See also [_dissimilation_](#dissimilation).	https://en.wiktionary.org/wiki/assimilation
		ML_CUSTOM_ATELIC	atelic	The [aspect](#aspect) of a verb that denotes an action without a definite endpoint or a goal that is tended towards, or rather an action with [cumulative reference](https://en.wikipedia.org/wiki/Cumulativity_(linguistics)) (such that the expression for that action may describe two or more actions of that kind that, when combined, still constitute a form of that action); contrast [**telic**](#telic). A kind of telicity distinction can be seen in English when specifying a duration in a (simple past) verb phrase: atelic verb phrases take [_for_](https://en.wiktionary.org/wiki/for#English) (_I built a house for an hour._ _She loved me for years._) (See also [](https://en.wikipedia.org/wiki/Telicity) [**Telicity**](https://en.wikipedia.org/wiki/Telicity) on Wikipedia.)	https://en.wiktionary.org/wiki/atelic
		ML_CUSTOM_ATTRIBUTIVE	attributive	See also: [_Appendix:English nouns § Attributive_](https://en.wiktionary.org/wiki/Appendix:English_nouns#Attributive) An adjective that stands in a syntactic position where it directly modifies a noun, as opposed to a [predicative](#predicative) adjective, which stands in a [predicate](#predicate) position but which modifies the [subject](#subject) of the [clause](#clause). For example, in _the big green house_, _big_ and _green_ are attributive adjectives, whereas in _The house is big and green_, _big_ and _green_ are predicative adjectives. Some adjectives are only-attributive like [_close_](https://en.wiktionary.org/wiki/close#Adjective) (in _a close friend_) or [_plain_](https://en.wiktionary.org/wiki/plain#English) (in _plain nonsense_). A noun or adjective (or phrase) that names a real object with the _attributes_ of another real object. For example, a [noun adjunct](https://en.wiktionary.org/wiki/noun_adjunct). This is in contrast to a [substantive](#substantive) noun or adjective, which names a real object that is the actual _substance_ named by the noun or adjective.	https://en.wiktionary.org/wiki/attributive
		ML_CUSTOM_AUGMENT	augment	In some [Indo-European](https://en.wiktionary.org/wiki/Indo-European) languages, a prefixed [vowel](#vowel) (e.g., Sanskrit [_अ-_](https://en.wiktionary.org/wiki/%E0%A4%85-#Sanskrit:_augment) (a-) and Ancient Greek [_ἐ-_](https://en.wiktionary.org/wiki/%E1%BC%90-#Ancient_Greek) (e-)) indicating a past tense in a verb. In [Celtic](https://en.wiktionary.org/wiki/Celtic) languages, especially Old Irish, a preverb, usually [_ro-_](https://en.wiktionary.org/wiki/ro-#Old_Irish), used to give a verb a resultative or potential meaning. In certain Bantu languages, a [morpheme](#morpheme) prefixed to a [noun class](#noun_class) prefix.	https://en.wiktionary.org/wiki/augment
		ML_CUSTOM_AUGMENTATIVE	augmentative	A word form expressing large size, importance, intensity, or seniority.	https://en.wiktionary.org/wiki/augmentative
		ML_CUSTOM_AUGMENTLESS	augmentless	(of nouns) Lacking an [augment](#augment).	https://en.wiktionary.org/wiki/augmentless
		ML_POS_AUXILIARY-VERB-OR-AUXILIARY	auxiliary verb or auxiliary	A verb that accompanies another verb in a clause. It is used to indicate distinctions in [tense](#tense), [mood](#mood), [voice](#voice), [aspect](#aspect) or other grammatical nuances. English examples are [_can_](https://en.wiktionary.org/wiki/can#English), [_will_](https://en.wiktionary.org/wiki/will#English), [_have_](https://en.wiktionary.org/wiki/have#English), [_be_](https://en.wiktionary.org/wiki/be#English).	https://en.wiktionary.org/wiki/auxiliary_verb, https://en.wiktionary.org/wiki/auxiliary
		ML_CUSTOM_AVOIDANCE-TERM	avoidance term	A word standardly used to replace a [taboo](https://en.wiktionary.org/wiki/taboo) word.	https://en.wiktionary.org/wiki/avoidance
		ML_CUSTOM_BACK-FORMATION	back-formation	A term formed by reinterpretation, or [reanalysis](#reanalysis) of an older term, often by removing an apparent or real prefix or suffix from it; for example, the noun [_pea_](https://en.wiktionary.org/wiki/pea#English) arose because the final /z/ sound in [_pease_](https://en.wiktionary.org/wiki/pease#English) sounded like a plural suffix. Similarly, the verb [_edit_](https://en.wiktionary.org/wiki/edit#English) is a back-formation from the earlier noun [_editor_](https://en.wiktionary.org/wiki/editor#English). Not to be confused with [clipping](#clipping), which just shortens a word without changing meaning or part of speech.	https://en.wiktionary.org/wiki/back-formation
		ML_PHONOLOGY_BACK-VOWEL	back vowel	Vowel sound produced in the back of the mouth. Examples in English include /uː/ in [rule](https://en.wiktionary.org/wiki/rule#English) or /əʊ/ in [pole](https://en.wiktionary.org/wiki/pole#English). / Contrast [front vowel](#front_vowel).	https://en.wiktionary.org/wiki/back_vowel
		ML_CUSTOM_BACKRONYM	backronym	A word that is either not an [acronym](#acronym) but is taken to be one and for which a full form is invented by [back-formation](#back-formation), or is an acronym and for which an alternative full form is invented by back-formation.	https://en.wiktionary.org/wiki/backronym
		ML_CUSTOM_BACKSLANG	backslang	A form of [slang](#slang) in which the spelling of words is reversed.	https://en.wiktionary.org/wiki/backslang
		ML_CUSTOM_BAHUVRIHI	bahuvrihi	Another term for an [_exocentric_](#exocentric) compound. / Contrast [_tatpurusa_](#tatpurusa), [_karmadharaya_](#karmadharaya) and [_dvandva_](#dvandva).	https://en.wiktionary.org/wiki/bahuvrihi
		ML_CUSTOM_BARYTONE	barytone	With the stress elsewhere than upon the final syllable. Compare with [oxytone](#oxytone), [paroxytone](#paroxytone), and [proparoxytone](#proparoxytone).	https://en.wiktionary.org/wiki/barytone
		ML_CUSTOM_BASE-STATE	base state	In Luganda, the form of a [noun](#noun) in which there is not an [initial vowel](#initial_vowel). / Contrast [_topic state_](#topic_state).	
		ML_CUSTOM_BC	BC	Before Christ. Year-numbering system equivalent to [BCE](#BCE).	https://en.wiktionary.org/wiki/BC
		ML_CUSTOM_BCE	BCE	Before the Common, Current or Christian Era. Year-numbering system equivalent to [BC](https://en.wiktionary.org/wiki/BC). [AD](https://en.wiktionary.org/wiki/AD) is expressed as [CE](#CE). To automatically switch most dates to use the "BC"/"AD" style, check the Gadgets section in [Special:Preferences](https://en.wiktionary.org/wiki/Special:Preferences) (or [WT:PREFS](https://en.wiktionary.org/wiki/Wiktionary:PREFS) if you do not have an account).	https://en.wiktionary.org/wiki/BCE
		ML_CUSTOM_BLEND	blend	A word or name that combines two words, typically starting with the start of one word and ending with the end of another, such as [_smog_](https://en.wiktionary.org/wiki/smog#English) (from [_smoke_](https://en.wiktionary.org/wiki/smoke#English) and [_fog_](https://en.wiktionary.org/wiki/fog#English)). Many blends are [portmanteaus](#portmanteau). / See also [_merger_](#merger).	https://en.wiktionary.org/wiki/blend
		ML_CUSTOM_BORROWING	borrowing	See [_loanword_](#loanword).	https://en.wiktionary.org/wiki/borrowing
		ML_CUSTOM_BOUND-FORM	bound form	A unit of language that can only be used as part of a word, not as a word on its own (such as the English suffix -ly). These types of [morphemes](#morpheme) are ‘bound’ in that they are restricted on where and how they are allowed to occur, needing to be attached to a freestanding morpheme in order to exist. Many suffixes are often bound.	https://en.wiktionary.org/wiki/bound_form
		ML_CUSTOM_BOWDLERIZATION	bowdlerization	The removal, from a text, of words or phrases that are considered offensive or vulgar.	https://en.wiktionary.org/wiki/bowdlerize
		ML_CUSTOM_BROADLY	broadly	Indicates a less precise (wider) use of words; short for _broadly speaking_. For most practical purposes, synonymous with [_loosely_](#loosely). / Contrast [_strict_](#strict) (_narrow_) senses.	https://en.wiktionary.org/wiki/broadly
		ML_CUSTOM_BROKEN-PLURAL	broken plural	An [irregular](https://en.wiktionary.org/wiki/irregular) [plural](#plural) formed by changing the pattern of [vowels](#vowel) inside the [singular](#singular) form, found in the [Semitic languages](https://en.wikipedia.org/wiki/Semitic_languages) and other [Afroasiatic languages](https://en.wikipedia.org/wiki/Afroasiatic_languages) such as the [Berber languages](https://en.wikipedia.org/wiki/Berber_languages). Examples in Arabic are [_كُتُب_](https://en.wiktionary.org/wiki/%D9%83%D8%AA%D8%A8#Arabic) (kutub, “books”) and [_مَكَاتِب_](https://en.wiktionary.org/wiki/%D9%85%D9%83%D8%A7%D8%AA%D8%A8#Arabic) (makātib, “desks”), respectively the plural forms of [_كِتَاب_](https://en.wiktionary.org/wiki/%D9%83%D8%AA%D8%A7%D8%A8#Arabic) (kitāb, “book”) and [_مَكْتَب_](https://en.wiktionary.org/wiki/%D9%85%D9%83%D8%AA%D8%A8#Arabic) (maktab, “desk”). Compare plurals in English formed by internal processes such as [umlaut](#umlaut), as with [_teeth_](https://en.wiktionary.org/wiki/teeth#English), plural of [_tooth_](https://en.wiktionary.org/wiki/tooth#English). Broken plurals contrast with [_sound plurals_](#sound_plural), which are formed by adding an ending to the singular (similarly to how plurals are typically formed in English and most other languages).	https://en.wiktionary.org/wiki/broken_plural
		ML_CUSTOM_C	c.	[Circa](https://en.wiktionary.org/wiki/circa) (Latin for "about"). Hence, a quotation from "c. 1924" or "ca. 1924" is a quotation from approximately 1924.	
		ML_CUSTOM_CALQUE	calque	A borrowing by word-for-word or [morpheme](#morpheme)-for-morpheme translation: a [loan translation](https://en.wiktionary.org/wiki/loan_translation). For example, the English expression [_it goes without saying_](https://en.wiktionary.org/wiki/it_goes_without_saying#English) is a calque (a literal, word-for-word translation) of French [_ça va sans dire_](https://en.wiktionary.org/wiki/%C3%A7a_va_sans_dire#French), and [_flea market_](https://en.wiktionary.org/wiki/flea_market#English) is a calque of French [_marché aux puces_](https://en.wiktionary.org/wiki/march%C3%A9_aux_puces#French) (literally “[market](https://en.wiktionary.org/wiki/market) with [fleas](https://en.wiktionary.org/wiki/flea)”). Contrariwise, the term [_skyscraper_](https://en.wiktionary.org/wiki/skyscraper#English) was calqued into French as [_gratte-ciel_](https://en.wiktionary.org/wiki/gratte-ciel#French) (literally “scrapes-sky”). / Calques are distinguished from [semantic loans](#semantic_loan) in that calques are not considered idiomatic expressions at the time that they are coined, whereas semantic loans would have had a pre-existing idiomatic meaning.	https://en.wiktionary.org/wiki/calque
		ML_MORPH-VALUE_CASE	case	One of the forms of a noun, used to indicate its function in the phrase or sentence. Examples include: [nominative](#nominative_case), [accusative](#accusative_case), [genitive](#genitive_case), [dative](#dative_case).	https://en.wiktionary.org/wiki/case
		ML_CUSTOM_CAT	cat.	Abbreviation for [_category_](https://en.wiktionary.org/wiki/category#English).	
		ML_CUSTOM_CATEGORY	category	A collection of entries, used to categorize or group entries of words that are similar in syntax (for example, English plural nouns) or in sense (for example, English words pertaining to sports); _see_ [Wiktionary:Categorization](https://en.wiktionary.org/wiki/Wiktionary:Categorization).	https://en.wiktionary.org/wiki/category
		ML_POS_CATENATIVE-VERB	catenative verb	A [verb](#verb) able to be immediately followed by the full or bare [infinitive](#infinitive), or [gerund](#gerund) (i.e. non-finite verbs). / → [Appendix:English catenative verbs](https://en.wiktionary.org/wiki/Appendix:English_catenative_verbs)	https://en.wiktionary.org/wiki/catenative
		ML_POS_CAUSATIVE-VERB	causative verb	A transitive verb that is derived from another verb, and expresses the act of making someone/something do the action of the base verb. Examples in English are: [_lay_](https://en.wiktionary.org/wiki/lay#English) (cause to [_lie_](https://en.wiktionary.org/wiki/lie#English)), [_set_](https://en.wiktionary.org/wiki/set#English) (cause to [_sit_](https://en.wiktionary.org/wiki/sit#English)) and [_raise_](https://en.wiktionary.org/wiki/raise#English) (cause to [_rise_](https://en.wiktionary.org/wiki/rise#English)). Compare [**factitive verbs**](#factitive) (e.g. [_shorten_](https://en.wiktionary.org/wiki/shorten#English), [_enslave_](https://en.wiktionary.org/wiki/enslave#English)), which are similar but are derived from adjectives or nouns.	https://en.wiktionary.org/wiki/causative
		ML_CUSTOM_CE	CE	Common, Current or Christian Era. Year-numbering system equivalent to [AD](https://en.wiktionary.org/wiki/AD). To automatically switch most dates to use the "BC"/"AD" style, check the Gadgets section in [Special:Preferences](https://en.wiktionary.org/wiki/Special:Preferences) (or [WT:PREFS](https://en.wiktionary.org/wiki/Wiktionary:PREFS) if you do not have an account).	https://en.wiktionary.org/wiki/CE
		ML_CUSTOM_CENSORED	censored	Of a spelling, a word that is censored possibly as a euphemism, or sometimes to bypass the chat filter, as in Spanish [_mrd_](https://en.wiktionary.org/wiki/mrd#Spanish) from [_mierda_](https://en.wiktionary.org/wiki/mierda#Spanish) (“shit”).	https://en.wiktionary.org/wiki/censored
		ML_CUSTOM_CF	cf.	Confer; "see"; "compare" – often used to indicate a word with similar, or opposite meaning.	https://en.wiktionary.org/wiki/cf.
		ML_CUSTOM_CHILDISH	childish	Language used colloquially by babies or children. These terms should be avoided in formal language.	https://en.wiktionary.org/wiki/childish
		ML_CUSTOM_CIRCUMFIX	circumfix	An [affix](#affix) containing both a [prefixing](#prefix) and a [suffixing](#suffix) element existing as a single [morphological](#morphological) unit. For example, the word [_embolden_](https://en.wiktionary.org/wiki/embolden#English) consists of [_bold_](https://en.wiktionary.org/wiki/bold#English) (adjective) circumfixed with [_em- -en_](https://en.wiktionary.org/wiki/em-_-en#English), a variant of [_en- -en_](https://en.wiktionary.org/wiki/en-_-en#English).	https://en.wiktionary.org/wiki/circumfix
		ML_CUSTOM_CIRCUMLOCUTORY	circumlocutory	Refers to a roundabout or indirect way of speaking; the use of more words than necessary to express an idea.	https://en.wiktionary.org/wiki/circumlocutory
		ML_CUSTOM_CJK	CJK	Chinese, Japanese, Korean, (and Vietnamese); [CJK characters](https://en.wikipedia.org/wiki/CJK_characters).	https://en.wiktionary.org/wiki/CJK, https://en.wiktionary.org/wiki/CJKV
		ML_CUSTOM_CLASSIFIER	classifier	_See [_counter_](#counter)._	https://en.wiktionary.org/wiki/classifier
		ML_CUSTOM_CLAUSE	clause	A word or group of words that functions as a single unit in the [syntax](#syntax) of a [sentence](#sentence), where the [head](#head) (or central) word is a [verb](#verb); normally distinguished from a [phrase](#phrase), which is a similar unit where the head word is some other [part of speech](#part_of_speech), such as a [noun](#noun), [adjective](#adjective) or [preposition](#preposition). For example, the [sentence](#sentence) _The man entered the house, which was large and blue_ contains two clauses, the [independent clause](#independent_clause) _The man entered the house_ and the [dependent clause](#dependent_clause) _which was large and blue_ (here the dependent clause is specifically a [relative clause](#relative_clause), although not all dependent clauses are relative clauses).	https://en.wiktionary.org/wiki/clause
		ML_CUSTOM_CLIPPING	clipping	A shortening of a word, without changing meaning or part of speech. Not to be confused with [back-formation](#back-formation), which changes meaning, or [ellipsis](#ellipsis), which shortens by omission of whole words. Also differs from [abbreviation](#abbreviation), which shortens the written—rather than spoken—form of a word or phrase. / See also [_apheresis_](#apheresis), [_apocope_](#apocope).	https://en.wiktionary.org/wiki/clipping
		ML_CUSTOM_CLITIC	clitic	A word that attaches to a phrase and cannot be used on its own, such as English [_'s_](https://en.wiktionary.org/wiki/%27s#English). Many languages have clitic [pronouns](#pronouns) ([weak pronouns](#weak_pronoun)), which may be contrasted with [emphatic](#emphatic) or [strong](#strong) pronouns; for example, English [_'ll_](https://en.wiktionary.org/wiki/%27ll#English) is a clitic version of [_will_](https://en.wiktionary.org/wiki/will#English) and generally attaches to the preceding word (_he'll_, _a little dab'll do ya_).	https://en.wiktionary.org/wiki/clitic
		ML_CUSTOM_COGNATE	cognate	[Descended](https://en.wiktionary.org/wiki/descend) from the same source [lexeme](#lexeme) of an [ancestor](https://en.wiktionary.org/wiki/ancestor) language.	https://en.wiktionary.org/wiki/cognate
		ML_CUSTOM_COINAGE	coinage	A new term intentionally created with a definite meaning.	https://en.wiktionary.org/wiki/coinage
		ML_CUSTOM_COLLECTIVE	collective	Expressing a collection or aggregate of individuals by a [singular](#singular) form. / → [Category:Collective nouns by language](https://en.wiktionary.org/wiki/Category:Collective_nouns_by_language)	https://en.wiktionary.org/wiki/collective
		ML_CUSTOM_COLLOCATION	collocation	A sequence of words or terms that are used together more often than by chance, i.e. that appears together relatively more often. A collocation under a particular definition of a polysemic term should reflect a sequence that distinguishes usage with the particular definition from most other definitions of the term.	https://en.wiktionary.org/wiki/collocation
		ML_CUSTOM_COLLOQUIAL	colloquial	Denotes words belonging to a spoken or vernacular variety of a language. These words are only properly used in a casual or familiar context. / This label is only used with some languages; with others it is treated as a synonym of [_informal_](#informal). If used, _colloquial_ is stronger than _informal_ (a general rule of thumb is that informal words may be used in the running text of a newspaper article, while a colloquial term would likely not appear without quotation marks). / **Note:** It is a common misconception that _colloquial_ somehow denotes "local" or a word being "[regional](#regional)". This is incorrect; the word root for _colloquial_ is related to [_locution_](https://en.wiktionary.org/wiki/locution#English), not [_location_](https://en.wiktionary.org/wiki/location#English).	https://en.wiktionary.org/wiki/colloquial
		ML_CUSTOM_COMBINING-FORM	combining form	A particular form of a term which is used as an [affix](#affix). For example, [_Afro-_](https://en.wiktionary.org/wiki/Afro-#English) (as in words like [_Afrocentric_](https://en.wiktionary.org/wiki/Afrocentric#English), [_Afro-American_](https://en.wiktionary.org/wiki/Afro-American#English)) is the _combining form_ of [_African_](https://en.wiktionary.org/wiki/African#English).	https://en.wiktionary.org/wiki/combining_form
		ML_MORPH-VALUE_COMMON-GENDER	common gender	Of common [gender](#gender). Some languages have a distinct common gender that combines [masculine](#masculine) and [feminine](#feminine) but is distinguished from [neuter](#neuter). In other languages, a "noun of common gender" is a pair of nouns, one masculine and one feminine, that are identical in form, and that have the same sense except that one refers to men and the other to women. Distinguish [epicene](#epicene).	https://en.wiktionary.org/wiki/common_gender
		ML_CUSTOM_COMPARABLE	comparable	Of an adjective or adverb: able to be compared, having [comparative](#comparative) and [superlative](#superlative) forms that end in _-er_ and _-est_ (adjectives only), or in conjunction with the words _more_ or _most_, or sometimes _further_ or _furthest_. Examples: _big_, _bigger_, and _biggest_; _talented_, _more talented_, and _most talented_; _upstairs_, _further upstairs_, and _furthest upstairs_. Some adjectives are truly [**incomparable**](#incomparable), such as _daily_, _additional_, and _else_. Many other adjectives, such as _unique_, _existential_, and _bearable_ are generally considered incomparable, but controversially so, where examples can be readily cited of something being "_more bearable_" or "_most perfect_".	https://en.wiktionary.org/wiki/comparable
		ML_CUSTOM_COMPARATIVE	comparative	An [inflection](#inflection), or different form, of a [**comparable**](#comparable) adjective showing a relative quality, usually denoting "to a greater extent" but not "to the ultimate extent". (See also [_superlative_](#superlative) and [_degrees of comparison_](#degrees_of_comparison).) In English, the _comparative_ form is usually formed by appending _-er_, or using the word _more_. For example, the comparative of _hard_ is "_harder_"; of _difficult_, "_more difficult_".	https://en.wiktionary.org/wiki/comparative
		ML_POS_CONCRETE-NOUN	concrete noun	A [noun](#noun) that denotes something tangible or material, such as a person or place. [Antonym](#antonym) of [abstract noun](#abstract_noun).	https://en.wiktionary.org/wiki/concrete_noun
		ML_POS_CONCRETE-VERB	concrete verb	_See [_unidirectional verb_](#unidirectional_verb)._	https://en.wiktionary.org/wiki/concrete_verb
